"Site","Date","Round","White","Black","Result","ECO","WhiteElo","BlackElo","Annotator","Source","Remark","pgn","ID","Time","Moves","Termination"
"Groningen (Netherlands)","1971.12.??","7","Borngaesser Rene (GER)","Gorchakov Alexander","1/2-1/2","B43","2340","0","","","","1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.Nc3 Qc7 6.Bd3 Nc6 7.Nxc6 bxc6 8.O-O Nf6 9.Re1 e5 1/2-1/2')"">","o_194001","","",""
"","","","Siddz","fadhi88","0-1","","731","1516","","","","","c_194001","3 days","9","time"
"","","","mrsmartypants","muzhaffar","1-0","","976","886","","","","","l_194001","              15|5","26","resignation"
"Groningen (Netherlands)","1971.12.??","3","Borngaesser Rene (GER)","Natalucci Fabrizio (ITA)","1/2-1/2","B71","2340","2203","","","","1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.f4 Nc6 7.Nxc6 bxc6 8.e5 Nd7 9.exd6 exd6 10.Be3 Qe7 11.Qd4 Bg7 12.Qxg7 Qxe3+ 13.Be2 Rf8 14.Rf1 Nc5 15.Rd1 d5 16.Qf6 Be6 17.Rf3 Qg1+ 18.Bf1 Ne4 19.Nxe4 dxe4 20.Rb3 e3 21.Qh4 Qf2+ 22.Qxf2 exf2+ 23.Kxf2 Bxb3 24.axb3 Ke7 25.Re1+ Kf6 26.Ra1 Rfd8 27.Bd3 Re8 28.Ra6 Re6 29.b4 Kg7 30.Kf3 Rb8 31.Rxa7 Rxb4 32.b3 Rf6 33.Bc4 g5 34.g3 gxf4 35.g4 h6 36.h4 Kg6 37.Bd3+ Kg7 38.g5 hxg5 39.hxg5 Rd6 40.Bc4 Kg6 41.Kxf4 1/2-1/2')"">","o_194002","","",""
"Groningen (Netherlands)","1971.12.??","5","Borngaesser Rene (GER)","Sax Gyula (HUN)","1/2-1/2","A00","2340","2400","","","","1.Nf3 g6 2.g3 Bg7 3.Bg2 e5 4.e4 Ne7 5.d4 exd4 6.Nxd4 O-O 7.O-O Nbc6 8.Be3 d6 9.Nc3 Ne5 10.Nd5 Nxd5 11.exd5 Nc4 12.Bc1 Qf6 13.c3 Bd7 14.Qb3 Nb6 15.a4 1/2-1/2')"">","o_194003","","",""
"","","","Damen","rajeeja1","1-0","","1333","1705","","","","","l_194003","              1 min","40","time"
"Groningen (Netherlands)","1971.12.??","7","Cronick S (WLS)","Baljon Christofoor (NED)","0-1","B23","2035","2235","","","","1.e4 c5 2.Nc3 Nc6 3.f4 e6 4.g3 d5 5.exd5 exd5 6.Bg2 Nf6 7.Nge2 c4 8.d3 Bf5 9.dxc4 dxc4 10.Bxc6+ bxc6 11.Nd4 Bg4 12.Qd2 Qd7 13.Qe3+ Be7 14.h3 Bxh3 15.Nxc6 Qxc6 16.Rxh3 O-O 17.Kd1 Bc5 0-1')"">","o_194004","","",""
"","","","dm896","rebekky","0-1","","1086","1242","","","","","l_194004","              1|5","22","checkmate"
"Groningen (Netherlands)","1971.12.??","2","Cronick S (WLS)","Bielczyk Jacek (POL)","0-1","B23","2035","2348","","","","1.e4 c5 2.Nc3 Nc6 3.f4 g6 4.Nf3 Bg7 5.d3 d6 6.Be3 Nd4 7.Be2 Qa5 8.Qd2 e6 9.Bxd4 cxd4 10.Nd1 Qb6 11.c3 Ne7 12.Nxd4 Bxd4 13.cxd4 Nc6 14.d5 exd5 15.exd5 Nd4 16.Nc3 O-O 17.O-O-O Bf5 18.g4 Nxe2+ 19.Qxe2 Rfe8 20.Ne4 Bxe4 21.dxe4 Qb4 22.a3 Qxe4 23.Qxe4 Rxe4 24.Rd2 Rc8+ 25.Kd1 Rxf4 26.h3 Rc5 27.Re1 Kf8 28.Re3 Rf1+ 29.Ke2 Rh1 30.Red3 Rcc1 31.Rf3 Rc5 32.Ke3 Re1+ 33.Kf2 Re5 34.Rfd3 Kg7 35.Kf3 h5 36.b3 b5 37.b4 Rc1 38.gxh5 Rxh5 39.Rh2 Re1 40.Rc3 Re7 41.Rd3 Ree5 42.Re3 Rhf5+ 43.Ke2 Rxd5 44.Re7 Rfe5+ 45.Rxe5 dxe5 46.Ke3 Rd4 47.Rc2 Rh4 0-1')"">","o_194005","","",""
"","","","Payncho","Ziryab","0-1","","1648","1762","","","","","l_194005","              3 min","38","checkmate"
"Groningen (Netherlands)","1971.12.??","5","Cronick S (WLS)","Nemlioglu Ahmet Fahri","1-0","B23","2035","0","","","","1.e4 c5 2.Nc3 d6 3.f4 Nc6 4.Bb5 Bd7 5.Nf3 e6 6.Bxc6 Bxc6 7.d3 Be7 8.O-O Nf6 9.Qe1 O-O 10.h3 b5 11.b3 Qd7 12.g4 Ne8 13.Nh4 d5 14.Nf3 f6 15.f5 dxe4 16.dxe4 b4 17.Nd1 e5 18.Kg2 Nd6 19.Nf2 Nb5 20.Bb2 Nd4 21.Rc1 Bb5 22.Rh1 Rfd8 23.c4 Bc6 24.Bxd4 exd4 25.Qd2 Bd6 26.Rce1 Re8 27.g5 Bc7 28.gxf6 gxf6 29.Kf1 Kf7 30.Qh6 Rh8 31.Ng4 Qe7 32.e5 Bxf3 33.exf6 Qxe1+ 34.Kxe1 Bg3+ 35.Kd2 Rhg8 36.Qxh7+ Kf8 37.Qe7# 1-0')"">","o_194006","","",""
"","","","mec","Sam2u","0-1","","1469","1605","","","","","l_194006","              5|4","36","resignation"
"Groningen (Netherlands)","1971.12.??","4","Cruz Jorge Filipe Egas Da (POR)","Cronick S (WLS)","1-0","D02","2014","2035","","","","1.d4 d5 2.Nf3 Nf6 3.Bf4 e6 4.e3 Bd6 5.Bg3 Ne4 6.Bd3 Nxg3 7.hxg3 Nd7 8.c4 dxc4 9.Bxc4 c5 10.Nc3 Nb6 11.Bb5+ Bd7 12.Qd3 h6 13.Rd1 Qc7 14.d5 c4 15.Qe4 O-O-O 16.O-O Rde8 17.Qc2 a6 18.Bxd7+ Nxd7 19.dxe6 Rxe6 20.Nd4 Rg6 21.Nf5 Bc5 22.Nd5 Qe5 23.Nf4 Rc6 24.Rd5 Qf6 25.Rfd1 Nb6 26.Nh5 Qe6 27.Nfxg7 Qg6 28.Qf5+ Qxf5 29.Rxf5 Rc7 30.Nf4 Na4 31.Rb1 Rd8 32.Nd5 Rcd7 33.Nf6 1-0')"">","o_194007","","",""
"","","","MakedonKutles","birdgoword","1-0","","1310","1010","","","","","l_194007","              3|5","8","checkmate"
"Groningen (Netherlands)","1971.12.??","7","Cruz Jorge Filipe Egas Da (POR)","Ireton Tom","1-0","E66","2014","0","","","","1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.g3 d6 5.Bg2 O-O 6.Nf3 Nc6 7.d5 Na5 8.Qd3 c5 9.O-O a6 10.Rb1 b5 11.Nd2 bxc4 12.Nxc4 Nxc4 13.Qxc4 Rb8 14.b4 cxb4 15.Rxb4 Rxb4 16.Qxb4 Qc7 17.Bd2 Nd7 18.Rc1 Qb7 19.Na4 Qxb4 20.Bxb4 Bd4 21.e3 Ba7 22.a3 Re8 23.Nb2 Nc5 24.Rc3 Bd7 25.Bf1 Rb8 26.Nd3 Bf5 27.Bxc5 Bxc5 28.Nxc5 dxc5 29.Rxc5 Be4 30.Rc1 Bxd5 31.Bxa6 Ra8 32.Rc8+ Rxc8 33.Bxc8 Bc6 34.Kf1 Kf8 35.Ke2 Ke8 36.Kd3 Kd8 37.Ba6 Kc7 38.Bc4 e6 39.Bb3 Kd6 40.Kd4 e5+ 41.Kc3 f5 42.Kb4 g5 43.Bc2 e4 44.Kc4 Ke5 45.Kc5 Ba8 46.a4 h5 47.a5 f4 48.a6 Kf5 49.Ba4 Kg4 50.Bc6 Kf3 51.Bxa8 Kxf2 52.gxf4 gxf4 53.Bxe4 fxe3 54.Bd3 1-0')"">","o_194008","","",""
"Groningen (Netherlands)","1971.12.??","6","Cruz Jorge Filipe Egas Da (POR)","Luminet Denis (BEL)","1-0","E30","2014","2236","","","","1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Bg5 h6 5.Bh4 c5 6.e3 O-O 7.Bd3 Bxc3+ 8.bxc3 d6 9.Nf3 Qe7 10.Nd2 e5 11.O-O b6 12.Bxf6 gxf6 13.Qf3 Bd7 14.Be4 1-0')"">","o_194009","","",""
"","","","DeepFish","I_M_Nameless","","","1628","1474","","","","","l_194009","              1 min","29","time"
