"Site","Date","Round","White","Black","Result","ECO","WhiteElo","BlackElo","Annotator","Source","Remark","pgn","ID","Time","Moves","Termination"
"New York (USA)","1979.12.??","?","Silman Jeremy D (USA)","Schill William (USA)","0-1","E75","2370","2306","","","","1.c4 Nf6 2.Nc3 g6 3.e4 d6 4.d4 Bg7 5.Be2 O-O 6.Bg5 c5 7.d5 e6 8.Qd2 exd5 9.exd5 Re8 10.Nf3 Bg4 11.O-O Nbd7 12.h3 Bxf3 13.Bxf3 a6 14.a4 Qe7 15.Rab1 Qf8 16.b3 h6 17.Be3 Re7 18.Bd1 Ne4 19.Nxe4 Rxe4 20.Bc2 Re7 21.b4 Rc8 22.b5 Ne5 23.bxa6 Nxc4 24.Qe2 Nxe3 25.axb7 Rxb7 26.Rxb7 Nxf1 27.Kxf1 Qe8 28.Re7 Qd8 29.g3 Kf8 30.Rb7 Rc7 31.Rb5 Bd4 32.a5 Ra7 33.Qd2 Kg7 34.Kg2 Qf6 35.Qe2 Bc3 36.a6 Qe5 37.Qxe5+ Bxe5 38.Rb6 c4 39.f4 Bd4 40.Rxd6 Kf8 41.Rc6 c3 42.f5 Re7 43.d6 Re2+ 44.Kf3 Rxc2 45.Rc8+ Kg7 46.d7 gxf5 47.g4 Rf2+ 48.Kg3 f4+ 49.Kh4 Bf6+ 0-1')"">","o_299001","","",""
"","","","shero73","Rajko","draw","","1589","1517","","","","","c_299001","4 weeks","60","draw"
"","","","GAZA2009","tbirro","1-0","","1385","1139","","","","","l_299001","              10 min","44","checkmate"
"Abano Terme (Italy)","1980.??.??","1","Huebner Robert Dr (GER)","Portisch Lajos (HUN)","1/2-1/2","B90","2600","2655","","","","1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.Be3 e5 7.Nf3 Qc7 8.a4 Be7 9.a5 Nbd7 10.Nd2 Nc5 11.Nd5 Nxd5 12.exd5 Bf5 13.Be2 h6 14.O-O O-O 15.b4 Nd7 16.c4 Bg5 17.Bxg5 hxg5 18.Nb3 Nf6 19.Qd2 g4 20.Rfc1 Qd7 21.Qe3 Bg6 22.Nd2 Rad8 23.Qg3 Bf5 24.Qh4 Qe7 25.Qg5 Bg6 26.Qe3 Bf5 27.Qg5 Bg6 1/2-1/2')"">","o_299002","","",""
"","","","cvnr23","RedBishop","0-1","","1525","1559","","","","","l_299002","              3 min","38","time"
"Abano Terme (Italy)","1980.??.??","3","Huebner Robert Dr (GER)","Portisch Lajos (HUN)","1/2-1/2","B90","2600","2655","","","","1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.Be3 e5 7.Nf3 Qc7 8.a4 Be7 9.a5 O-O 10.Be2 Be6 11.O-O Nbd7 12.Ng5 Bc4 13.Ra4 Bxe2 14.Qxe2 Rfc8 15.Nf3 Qc6 16.Rd1 Bf8 17.h3 h6 18.Qd3 Be7 19.Rda1 Nc5 20.Bxc5 Qxc5 21.Nd2 Rc6 22.Nc4 Bd8 23.Rd1 Rb8 24.Nd5 Nxd5 25.Qxd5 Bc7 26.Ne3 Qxd5 27.Rxd5 Kf8 28.Kf1 Bd8 29.Nc4 Ke7 30.b3 Ke6 31.Ra1 Bc7 32.Rad1 g6 33.Ke2 f5 34.f3 fxe4 35.fxe4 Rf8 36.g3 Bb8 37.R1d3 Bc7 38.h4 h5 39.c3 Bb8 40.Nd2 Ba7 41.Nf3 Ke7 42.c4 Bc5 43.Rd1 b6 44.axb6 Bxb6 45.Rf1 Rc5 46.Nd2 Rxf1 47.Nxf1 Rc8 48.Ne3 Bc5 49.Rd3 a5 50.Nd5+ Kf7 51.Nc3 Ra8 52.Rf3+ Kg8 53.Nd5 a4 54.bxa4 Rxa4 55.Nf6+ Kh8 56.Rb3 Kg7 57.Nd5 Ra2+ 58.Kf1 Rc2 59.Rb7+ Kf8 60.Rb8+ 1/2-1/2')"">","o_299003","","",""
"","","","mickrey","tonygjomemo","1-0","","1802","1734","","","","","l_299003","              5 min","21","checkmate"
"Abano Terme (Italy)","1980.??.??","5","Huebner Robert Dr (GER)","Portisch Lajos (HUN)","1/2-1/2","A34","2600","2655","","","","1.c4 c5 2.Nf3 Nf6 3.Nc3 d5 4.cxd5 Nxd5 5.e4 Nb4 6.Bc4 Nd3+ 7.Ke2 Nf4+ 8.Kf1 Ne6 9.b4 cxb4 10.Nd5 g6 11.Bb2 Bg7 12.Bxg7 Nxg7 13.Nxb4 O-O 14.d4 Bg4 15.Qd2 Bxf3 16.gxf3 Nc6 17.Nxc6 bxc6 18.f4 e6 19.Qe3 Qf6 20.Be2 Rfd8 21.Rd1 Rab8 22.a3 Rb2 23.Kg2 Rdb8 24.Rhe1 R8b3 25.Rd3 Rxd3 26.Qxd3 Qxf4 27.Rb1 Rxb1 28.Qxb1 Ne8 29.Qc2 Nf6 30.Bf3 g5 31.h3 h5 32.e5 g4 33.Bxc6 gxh3+ 34.Kxh3 Ng4 35.f3 Ne3 36.Qh2 Qxh2+ 37.Kxh2 Nf5 38.d5 Ne7 39.Kg3 exd5 40.Bb5 Ng6 41.f4 Kg7 42.Be2 Kh6 43.Bd1 Ne7 44.Bc2 Nc8 45.Kh4 Nb6 46.Bd1 Nc4 47.Bxh5 Kg7 48.Kg3 Nxa3 49.Kf2 Nc2 50.Bd1 Nd4 51.Ke3 Nf5+ 52.Kd3 Kg6 53.Ba4 Ng7 54.Kd4 Kf5 55.Kxd5 Kxf4 56.Bb3 Ne6 57.Kd6 Ng5 58.Kc6 Kxe5 59.Kb7 f5 60.Kxa7 f4 61.Bd1 1/2-1/2')"">","o_299004","","",""
"","","","anthonyjos","ulyyses","0-1","","874","1123","","","","","l_299004","              10 min","25","resignation"
"Abano Terme (Italy)","1980.??.??","7","Huebner Robert Dr (GER)","Portisch Lajos (HUN)","1/2-1/2","D41","2600","2655","","","","1.c4 c5 2.Nf3 Nf6 3.Nc3 e6 4.g3 Nc6 5.Bg2 d5 6.cxd5 Nxd5 7.O-O Be7 8.d4 O-O 9.e4 Ndb4 10.a3 cxd4 11.axb4 dxc3 12.bxc3 Qc7 13.Be3 Rd8 14.Qe2 Bd7 15.Rfd1 Be8 16.Rxd8 Rxd8 17.Qc4 a6 18.Bf4 Qc8 19.Bf1 Na7 20.Qb3 Nb5 21.Rc1 Qc6 22.c4 Nd4 23.Nxd4 Rxd4 24.Be3 Rd8 25.f3 Qc7 26.Be2 h5 27.Kf2 h4 28.c5 Bc6 29.Rd1 Rxd1 30.Qxd1 Qe5 31.Qd4 Bf6 32.Qxe5 Bxe5 33.Bd2 Bd4+ 34.Kg2 hxg3 35.hxg3 Kf8 36.Bc4 Ke7 37.Kf1 Bb5 38.Bxb5 axb5 39.g4 f5 40.exf5 exf5 41.gxf5 Kf6 42.Ke2 Kxf5 1/2-1/2')"">","o_299005","","",""
