"ID","pgn","FEN","FEN_online"
"o_1","1.e4 e5 2.f4 d6 3.Bc4 c6 4.Nf3 Bg4 5.fxe5 dxe5 6.Bxf7+ Kxf7 7.Nxe5+ Ke8 8.Qxg4 Nf6 9.Qe6+ Qe7 10.Qc8+ Qd8 11.Qxd8+ Kxd8 12.Nf7+ 1-0')"">","rn1k1b1r/pp3Npp/2p2n2/8/4P3/8/PPPP2PP/RNB1K2R b KQ - 1 12","rn1k1b1r/pp3Npp/2p2n2/8/4P3/8/PPPP2PP/RNB1K2R b KQ - 1 12"
"o_112","1.e4 e5 2.Bc4 Bc5 3.c3 Qe7 4.d3 d6 5.Qe2 Be6 6.Bxe6 Qxe6 7.f4 f6 8.Nf3 Nd7 9.d4 Bb6 10.O-O Ne7 11.fxe5 Nxe5 12.Kh1 Nf7 13.Re1 c6 14.Bf4 O-O 15.Nbd2 Qg4 16.Bg3 Rfe8 17.Qd3 f5 18.e5 f4 19.exd6 Ng6 20.Bf2 Nxd6 21.Nc4 Nxc4 22.Qxc4+ Kh8 23.Qf7 Reb8 24.Re4 Qc8 25.Rae1 Qg8 26.Qd7 Nf8 27.Qg4 Ng6 28.h4 Bd8 29.h5 Nf8 30.Qxf4 Bf6 31.g4 h6 32.b3 Nh7 33.Bg3 Rf8 34.Qe3 Qf7 35.Kg2 Ng5 36.Nxg5 Bxg5 37.Qe2 Rad8 38.Re6 Bf6 39.Qe4 Qd7 40.Bd6 Rf7 41.Re2 Bg5 42.c4 Rf6 43.c5 Rxe6 44.Qxe6 Qxe6 45.Rxe6 Kg8 46.Kf3 Kf7 47.Re4 g6 48.hxg6+ Kxg6 49.a4 Rd7 50.Ke2 h5 51.gxh5+ Kxh5 52.Kd3 Kg6 53.Kc4 Rh7 54.Re2 Kf5 55.Bb8 a6 56.Re5+ Kf6 57.Bd6 Bf4 1/2-1/2')"">","8/1p5r/p1pB1k2/2P1R3/P1KP1b2/1P6/8/8 w - - 4 58","8/1p5r/p1pB1k2/2P1R3/P1KP1b2/1P6/8/8 w - - 4 58"
"o_223","1.e4 e5 2.Nf3 Nc6 3.c3 f5 4.exf5 d5 5.Bb5 Bd6 6.d4 e4 7.Bg5 Nge7 8.Nh4 O-O 9.g4 Qe8 10.Nd2 Bd7 11.Qe2 Nc8 12.Ng2 a6 13.Ba4 h6 14.Be3 N6e7 15.Bxd7 Qxd7 16.Nf4 Bxf4 17.Bxf4 Nd6 18.O-O-O Qa4 19.Bxd6 cxd6 20.Kb1 b5 21.f3 Nc6 22.fxe4 Rfe8 23.Qd3 dxe4 24.Nxe4 Red8 25.f6 Ra7 26.fxg7 Rxg7 27.Rhf1 b4 28.Qc4+ Kh8 29.Qe6 bxc3 30.Qxh6+ Rh7 31.Rf8+ 1-0')"">","3r1R1k/7r/p1np3Q/8/q2PN1P1/2p5/PP5P/1K1R4 b - - 2 31","3r1R1k/7r/p1np3Q/8/q2PN1P1/2p5/PP5P/1K1R4 b - - 2 31"
"o_334","1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Bc5 6.d4 exd4 7.cxd4 Bb6 8.O-O Na5 9.Bd3 d5 10.exd5 Qxd5 11.Ba3 Be6 12.Nc3 Qd7 13.d5 Bxd5 14.Nxd5 Qxd5 15.Bb5+ Qxb5 16.Re1+ Ne7 17.Rb1 Qa6 18.Rxe7+ Kf8 19.Qd5 Qc4 20.Rxf7+ Kg8 21.Rf8# 1-0')"">","r4Rkr/ppp3pp/1b6/n2Q4/2q5/B4N2/P4PPP/1R4K1 b - - 2 21","r4Rkr/ppp3pp/1b6/n2Q4/2q5/B4N2/P4PPP/1R4K1 b - - 2 21"
"o_445","1.d4 d5 2.b3 e6 3.e3 Nf6 4.Bd3 a6 5.a4 c5 6.Ne2 Nc6 7.c3 b6 8.Bb2 Bb7 9.Nd2 Bd6 10.Qc2 Rc8 11.h3 Na5 12.dxc5 bxc5 13.O-O c4 14.bxc4 dxc4 15.Be4 Nxe4 16.Nxe4 Bxe4 17.Qxe4 Nb3 18.Rad1 Nc5 19.Qxc4 O-O 20.Qd4 Nb7 21.c4 f6 22.Bc3 Qc7 23.Qe4 e5 24.Rb1 Nd8 25.Rfd1 Nf7 26.Rb7 Qc6 27.Qxc6 Rxc6 28.Bb4 Rfc8 29.Ng3 Bxb4 30.Rxb4 Rxc4 31.Rdb1 Rxb4 32.Rxb4 Kf8 33.Rb6 Ra8 34.Ne4 a5 35.Nc5 Ra7 36.Rb8+ Ke7 37.Rb7+ Rxb7 38.Nxb7 Kd7 39.Nxa5 Kc7 40.Kf1 Kb6 41.Nb3 Nd6 42.Ke2 Nc4 43.Kf3 f5 44.e4 f4 45.g3 fxg3 46.Kxg3 Nb2 47.a5+ Kb5 48.f4 exf4+ 49.Kxf4 Nc4 50.e5 g6 51.e6 Kc6 52.a6 Kd6 53.a7 Nb6 54.Nd4 Ke7 55.Ke5 h6 56.Nc6+ Ke8 57.Kf6 g5 58.Nd8 Na8 59.Nf7 Kf8 60.e7+ Ke8 61.Nd6+ Kd7 62.e8Q+ 1-0')"">","n3Q3/P2k4/3N1K1p/6p1/8/7P/8/8 b - - 4 62","n3Q3/P2k4/3N1K1p/6p1/8/7P/8/8 b - - 4 62"
"o_556","1.e4 e5 2.f4 exf4 3.Bc4 Qh4+ 4.Kf1 g5 5.d4 Bg7 6.Nc3 Ne7 7.g3 fxg3 8.Kg2 Qh6 9.hxg3 Qg6 10.Nh3 h6 11.Rf1 Rf8 12.Be3 a6 13.Bd3 d6 14.g4 Nbc6 15.Nf2 Bd7 16.Ne2 O-O-O 17.c3 h5 18.e5 Qh6 19.exd6 cxd6 20.gxh5 f5 21.Ng1 f4 22.Bd2 g4 23.Nxg4 Qxh5 24.Be2 f3+ 25.Rxf3 Qxg4+ 26.Rg3 Qe4+ 27.Bf3 Rxf3 28.Qxf3 Qh7 29.Ne2 Ne5 30.dxe5 Bc6 31.exd6 Bxf3+ 32.Rxf3 Nf5 33.Rh1 Qg6+ 34.Kf2 Nxd6 35.Be3 Ne4+ 36.Ke1 Qe6 37.Rg1 Bf6 0-1')"">","2kr4/1p6/p3qb2/8/4n3/2P1BR2/PP2N3/4K1R1 w - - 6 38","2kr4/1p6/p3qb2/8/4n3/2P1BR2/PP2N3/4K1R1 w - - 6 38"
"o_667","1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Ba5 6.d4 exd4 7.O-O d6 8.Qb3 Qf6 9.e5 dxe5 10.Re1 Bb6 11.Bg5 Qf5 12.Nxe5 Nxe5 13.f4 dxc3+ 14.Kh1 Bd4 15.Nxc3 Kf8 16.Rad1 Nxc4 17.Qxc4 Be6 18.Qxd4 f6 19.Ne4 b6 20.Ng3 Qc5 21.Qxc5+ bxc5 22.Rxe6 fxg5 23.fxg5 g6 24.h4 Kf7 25.Re5 h6 26.Ne4 hxg5 27.Nxg5+ Kf6 28.Re6+ Kf5 29.Rd5+ Kg4 30.Re4+ 1-0')"">","r5nr/p1p5/6p1/2pR2N1/4R1kP/8/P5P1/7K b - - 6 30","r5nr/p1p5/6p1/2pR2N1/4R1kP/8/P5P1/7K b - - 6 30"
"o_778","1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5 d5 5.exd5 Na5 6.Bb5+ c6 7.dxc6 bxc6 8.Be2 h6 9.Nf3 e4 10.Ne5 Qd4 11.f4 Bc5 12.Rf1 Bb6 13.c3 Qd8 14.d4 exd3 15.Bxd3 O-O 16.Qe2 Re8 17.h3 Nd7 18.Nd2 Bc7 19.b4 Nb7 20.Ndf3 Nd6 21.Be3 Nb6 22.Rd1 Nd5 23.Bc4 Nf5 24.Kf2 Nfxe3 25.Qxe3 Bb6 0-1')"">","r1bqr1k1/p4pp1/1bp4p/3nN3/1PB2P2/2P1QN1P/P4KP1/3R1R2 w - - 1 26","r1bqr1k1/p4pp1/1bp4p/3nN3/1PB2P2/2P1QN1P/P4KP1/3R1R2 w - - 1 26"
"o_889","1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Bc5 6.O-O d6 7.d4 Bb6 8.Qb3 Qe7 9.dxe5 dxe5 10.Ba3 Qf6 11.Nbd2 Na5 12.Qb4 c5 13.Qa4+ Bd7 14.Qc2 Ne7 15.Bd5 O-O 16.Nb3 Nxb3 17.axb3 Bc6 18.c4 Ng6 19.Bb2 Rfe8 20.Nxe5 Bxd5 21.exd5 Rxe5 22.f4 Nxf4 23.Rf2 Qg5 24.h4 Qf5 25.Qd2 Re4 26.Raf1 Rae8 27.Rxf4 Rxf4 28.Rxf4 Qb1+ 29.Rf1 Qe4 30.Qc3 Qe3+ 31.Qxe3 Rxe3 32.Rf3 Rxf3 33.gxf3 Bc7 34.Kf2 f5 35.Ke3 Kf7 36.f4 g6 37.Be5 Bd8 38.Bd6 b6 39.h5 gxh5 40.Kf3 Ke8 41.Be5 Kd7 42.Bc3 Be7 43.Be5 a6 44.Bc3 b5 45.Be5 bxc4 46.bxc4 a5 47.Bc3 a4 48.Bb2 Bd8 49.Kg3 Ba5 50.Bc1 Bb4 51.Kh4 a3 52.Kxh5 a2 53.Bb2 Bd2 54.Kg5 Be3 0-1')"">","8/3k3p/8/2pP1pK1/2P2P2/4b3/pB6/8 w - - 4 55","8/3k3p/8/2pP1pK1/2P2P2/4b3/pB6/8 w - - 4 55"
"o_1000","1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nf6 5.Bd3 Nc6 6.Be3 d5 7.Nxc6 bxc6 8.e5 Nd7 9.f4 f5 10.O-O Bc5 11.Qe2 O-O 12.Rf3 Bxe3+ 13.Rxe3 Nc5 14.Nd2 Ne4 15.Rf1 a5 16.Rff3 Ra7 17.Rh3 Qb6 18.Nf1 g6 19.g4 Rg7 20.Kg2 c5 21.Bxe4 fxe4 22.Rb3 Qc7 23.Kg3 c4 24.Ra3 g5 25.fxg5 Qxe5+ 26.Kg2 d4 27.Rh5 e3 28.Ng3 Qd5+ 29.Kg1 Rf2 30.Qxf2 exf2+ 31.Kxf2 Rf7+ 0-1')"">","2b3k1/5r1p/4p3/p2q2PR/2pp2P1/R5N1/PPP2K1P/8 w - - 1 32","2b3k1/5r1p/4p3/p2q2PR/2pp2P1/R5N1/PPP2K1P/8 w - - 1 32"
