"","a8","a7","a6","a5","a4","a3","a2","a1","b8","b7","b6","b5","b4","b3","b2","b1","c8","c7","c6","c5","c4","c3","c2","c1","d8","d7","d6","d5","d4","d3","d2","d1","e8","e7","e6","e5","e4","e3","e2","e1","f8","f7","f6","f5","f4","f3","f2","f1","g8","g7","g6","g5","g4","g3","g2","g1","h8","h7","h6","h5","h4","h3","h2","h1"
"000_empty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000_zero","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook","black Knight","black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Bishop","black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Queen","black pawn",NA,NA,NA,NA,"white pawn","white Queen","black King","black pawn",NA,NA,NA,NA,"white pawn","white King","black Bishop","black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Knight","black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook"
"C1600W_1.e3","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook","black Knight","black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Bishop","black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Queen","black pawn",NA,NA,NA,NA,"white pawn","white Queen","black King","black pawn",NA,NA,NA,"white pawn",NA,"white King","black Bishop","black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Knight","black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook"
"C1600W_1...d5","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook","black Knight","black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Bishop","black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Queen",NA,NA,"black pawn",NA,NA,"white pawn","white Queen","black King","black pawn",NA,NA,NA,"white pawn",NA,"white King","black Bishop","black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Knight","black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook"
"C1600W_2.Qh5","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook","black Knight","black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Bishop","black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Queen",NA,NA,"black pawn",NA,NA,"white pawn",NA,"black King","black pawn",NA,NA,NA,"white pawn",NA,"white King","black Bishop","black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Knight","black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Rook","black pawn",NA,"white Queen",NA,NA,"white pawn","white Rook"
"C1600W_2...Nf6","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook","black Knight","black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Bishop","black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Queen",NA,NA,"black pawn",NA,NA,"white pawn",NA,"black King","black pawn",NA,NA,NA,"white pawn",NA,"white King","black Bishop","black pawn","black Knight",NA,NA,NA,"white pawn","white Bishop",NA,"black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Rook","black pawn",NA,"white Queen",NA,NA,"white pawn","white Rook"
"C1600W_3.Qh4","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook","black Knight","black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Bishop","black pawn",NA,NA,NA,NA,"white pawn","white Bishop","black Queen",NA,NA,"black pawn",NA,NA,"white pawn",NA,"black King","black pawn",NA,NA,NA,"white pawn",NA,"white King","black Bishop","black pawn","black Knight",NA,NA,NA,"white pawn","white Bishop",NA,"black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook"
"C1600W_3...Qd6","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook","black Knight","black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Bishop","black pawn",NA,NA,NA,NA,"white pawn","white Bishop",NA,NA,"black Queen","black pawn",NA,NA,"white pawn",NA,"black King","black pawn",NA,NA,NA,"white pawn",NA,"white King","black Bishop","black pawn","black Knight",NA,NA,NA,"white pawn","white Bishop",NA,"black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook"
"C1600W_4.Nc3","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook","black Knight","black pawn",NA,NA,NA,NA,"white pawn",NA,"black Bishop","black pawn",NA,NA,NA,"white Knight","white pawn","white Bishop",NA,NA,"black Queen","black pawn",NA,NA,"white pawn",NA,"black King","black pawn",NA,NA,NA,"white pawn",NA,"white King","black Bishop","black pawn","black Knight",NA,NA,NA,"white pawn","white Bishop",NA,"black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook"
"C1600W_4...e5","black Rook","black pawn",NA,NA,NA,NA,"white pawn","white Rook","black Knight","black pawn",NA,NA,NA,NA,"white pawn",NA,"black Bishop","black pawn",NA,NA,NA,"white Knight","white pawn","white Bishop",NA,NA,"black Queen","black pawn",NA,NA,"white pawn",NA,"black King",NA,NA,"black pawn",NA,"white pawn",NA,"white King","black Bishop","black pawn","black Knight",NA,NA,NA,"white pawn","white Bishop",NA,"black pawn",NA,NA,NA,NA,"white pawn","white Knight","black Rook","black pawn",NA,NA,"white Queen",NA,"white pawn","white Rook"
