"Site","Date","Round","White","Black","Result","ECO","WhiteElo","BlackElo","Annotator","Source","Remark","pgn","ID","Time","Moves","Termination"
"Madrid (Spain)","1560.??.??","?","Ruy Lopez De Segura","Leonardo Da Curtie","1-0","C30",0,0,NA,NA,NA,"1.e4 e5 2.f4 d6 3.Bc4 c6 4.Nf3 Bg4 5.fxe5 dxe5 6.Bxf7+ Kxf7 7.Nxe5+ Ke8 8.Qxg4 Nf6 9.Qe6+ Qe7 10.Qc8+ Qd8 11.Qxd8+ Kxd8 12.Nf7+ 1-0')"">","o_1","","",""
"","","","erik","nyarlathotep","1-0","",1327,1063,NA,NA,NA,"","c_1","2 days","19","resignation"
"Rome (Italy)","1602.??.??","?","Polerio G","Dominiko V","1-0","C57",0,0,NA,NA,NA,"1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.Ng5 d5 5.exd5 Nxd5 6.Nxf7 Kxf7 7.Qf3+ Ke6 8.Nc3 Nce7 9.d4 c6 10.Bg5 h6 11.Bxe7 Bxe7 12.O-O-O Rf8 13.Qe4 Rxf2 14.dxe5 Bg5+ 15.Kb1 Rd2 16.h4 Rxd1+ 17.Rxd1 Bxh4 18.Nxd5 cxd5 19.Rxd5 Qg5 20.Rd6+ Ke7 21.Rg6 1-0')"">","o_2","","",""
"","","","Patzer24","erik","1-0","",1200,1200,NA,NA,NA,"","c_2","12 hours","15","resignation"
"","","","johnletox","faeadagbee","1-0","",1253,722,NA,NA,NA,"","l_2","              10 min","26","checkmate"
"Rome (Italy)","1619.??.??","?","Greco J","Amateur (ITA)","1-0","B00",0,0,NA,NA,NA,"1.e4 b6 2.d4 Bb7 3.Bd3 f5 4.exf5 Bxg2 5.Qh5+ g6 6.fxg6 Nf6 7.gxh7+ Nxh5 8.Bg6# 1-0')"">","o_3","","",""
"","","","andy","erik","1-0","",1200,1200,NA,NA,NA,"","c_3","1 day","29","resignation"
"","","","StonedPawn","fortress","0-1","",1197,1235,NA,NA,NA,"","l_3","              10 min","40","resignation"
"Rome (Italy)","1619.??.??","?","Greco J","Amateur (ITA)","1-0","C00",0,0,NA,NA,NA,"1.e4 e6 2.d4 Nf6 3.Bd3 Nc6 4.Nf3 Be7 5.h4 O-O 6.e5 Nd5 7.Bxh7+ Kxh7 8.Ng5+ Bxg5 9.hxg5+ Kg6 10.Qh5+ Kf5 11.Qh7+ g6 12.Qh3+ Ke4 13.Qd3# 1-0')"">","o_4","","",""
"","","","AliciaS","Patzer24","0-1","",1200,1200,NA,NA,NA,"","c_4","2 days","25","checkmate"
"","","","guillo468","grandmaster22","1-0","",1290,995,NA,NA,NA,"","l_4","              10 min","31","resignation"
"Rome (Italy)","1619.??.??","?","Greco J","Amateur (ITA)","1-0","C53",0,0,NA,NA,NA,"1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Qe7 5.O-O d6 6.d4 Bb6 7.Bg5 f6 8.Bh4 g5 9.Nxg5 fxg5 10.Qh5+ Kd7 11.Bxg5 Qg7 12.Be6+ Kxe6 13.Qe8+ Nge7 14.d5# 1-0')"">","o_5","","",""
"","","","TraglorfBob","Don1","0-1","",1157,1360,NA,NA,NA,"","c_5","2 weeks","49","resignation"
"","","","popskirk","audioavila1","1-0","",1202,1114,NA,NA,NA,"","l_5","              10 min","40","resignation"
"Rome (Italy)","1620.??.??","?","Greco J","NN (ITA)","1-0","C02",0,0,NA,NA,NA,"1.e4 e6 2.d4 d5 3.e5 c5 4.c3 cxd4 5.cxd4 Bb4+ 6.Nc3 Bxc3+ 7.bxc3 Nc6 8.Bd3 Nge7 9.f4 Nf5 10.Nf3 O-O 11.g4 Nh4 12.O-O Nxf3+ 13.Qxf3 Bd7 14.Qh3 g6 15.f5 exf5 16.gxf5 gxf5 17.Rxf5 Bxf5 18.Bxf5 1-0')"">","o_6","","",""
"","","","baba","BrianN","0-1","",1039,1361,NA,NA,NA,"","c_6","8 minutes","25—?,","time"
"","","","choko","negro64","1-0","",1013,1070,NA,NA,NA,"","l_6","              10 min","24","resignation"
"Rome (Italy)","1620.??.??","?","NN (ITA)","Greco J","0-1","C02",0,0,NA,NA,NA,"1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 5.Nf3 Bd7 6.Be3 c4 7.b3 b5 8.a4 a6 9.axb5 axb5 10.Rxa8 Qxa8 11.bxc4 dxc4 12.Be2 Nge7 13.O-O Nd5 14.Bd2 Be7 15.Ng5 Bxg5 16.Bxg5 O-O 17.Bf3 Na5 18.Bxd5 Qxd5 19.f4 Bc6 20.Qd2 Nb3 21.Qc2 Nxd4 22.cxd4 Qxd4+ 23.Kh1 Be4 24.Qc3 Qc5 25.Nd2 Bd3 26.Rc1 Rc8 27.Nb3 cxb3 28.Qxc5 Rxc5 29.Rxc5 h6 30.Rc3 b2 31.Rb3 b1Q+ 32.Rxb1 Bxb1 33.Be7 Kh7 34.g4 Be4+ 35.Kg1 Bf3 36.h3 h5 37.g5 Kg6 38.Kf2 Bd5 39.Ke3 h4 40.Kf2 Kf5 41.Ke3 Bg2 42.Bf8 g6 43.Bb4 Bxh3 44.Be1 Kg4 45.Bd2 Bg2 46.Kf2 h3 47.Bc1 Bd5 48.Kg1 Kg3 49.Be3 h2+ 50.Kf1 h1Q+ 0-1')"">","o_7","","",""
"","","","baba","AliciaS","0-1","",1039,1356,NA,NA,NA,"","c_7","7 minutes","25—?,","time"
"","","","aram74","ctesibius","1-0","",1097,1054,NA,NA,NA,"","l_7","              10 min","21","checkmate"
"Paris (France)","1750.??.??","?","De Legal","Saint Brie (FRA)","1-0","C41",0,0,NA,NA,NA,"1.e4 e5 2.Nf3 d6 3.Bc4 Bg4 4.Nc3 Nc6 5.Nxe5 Bxd1 6.Bxf7+ Ke7 7.Nd5# 1-0')"">","o_8","","",""
"","","","AliciaS","erik","0-1","",1052,1426,NA,NA,NA,"","c_8","4 days","31","resignation"
"","","","Donsocrates","kolemath","1-0","",1437,944,NA,NA,NA,"","l_8","              15|10","21","checkmate"
"London (England)","1783.??.??","?","Graf Bruehl","Philidor Francois A D (FRA)","0-1","C23",0,0,NA,NA,NA,"1.e4 e5 2.Bc4 c6 3.Qe2 d6 4.c3 f5 5.d3 Nf6 6.exf5 Bxf5 7.d4 e4 8.Bg5 d5 9.Bb3 Bd6 10.Nd2 Nbd7 11.h3 h6 12.Be3 Qe7 13.f4 h5 14.c4 a6 15.cxd5 cxd5 16.Qf2 O-O 17.Ne2 b5 18.O-O Nb6 19.Ng3 g6 20.Rac1 Nc4 21.Nxf5 gxf5 22.Qg3+ Qg7 23.Qxg7+ Kxg7 24.Bxc4 bxc4 25.g3 Rab8 26.b3 Ba3 27.Rc2 cxb3 28.axb3 Rbc8 29.Rxc8 Rxc8 30.Ra1 Bb4 31.Rxa6 Rc3 32.Kf2 Rd3 33.Ra2 Bxd2 34.Rxd2 Rxb3 35.Rc2 h4 36.Rc7+ Kg6 37.gxh4 Nh5 38.Rd7 Nxf4 39.Bxf4 Rf3+ 40.Kg2 Rxf4 41.Rxd5 Rf3 42.Rd8 Rd3 43.d5 f4 44.d6 Rd2+ 45.Kf1 Kf7 46.h5 e3 47.h6","o_9","","",""
"","","","Don1","erik","0-1","",1095,1400,NA,NA,NA,"","c_9","3 days","27","resignation"
"","","","Blackjack52","missak15","draw","",1325,1154,NA,NA,NA,"","l_9","              10 min","74","draw"
"London (England)","1790.??.??","?","SmithI","Philidor Francois A D (FRA)","0-1","C24",0,0,NA,NA,NA,"1.e4 e5 2.Bc4 Nf6 3.d3 c6 4.Bg5 h6 5.Bxf6 Qxf6 6.Nc3 b5 7.Bb3 a5 8.a3 Bc5 9.Nf3 d6 10.Qd2 Be6 11.Bxe6 fxe6 12.O-O g5 13.h3 Nd7 14.Nh2 h5 15.g3 Ke7 16.Kg2 d5 17.f3 Nf8 18.Ne2 Ng6 19.c3 Rag8 20.d4 Bb6 21.dxe5 Qxe5 22.Nd4 Kd7 23.Rae1 h4 24.Qf2 Bc7 25.Ne2 hxg3 26.Qxg3 Qxg3+ 27.Nxg3 Nf4+ 28.Kh1 Rxh3 29.Rg1 Rxh2+ 30.Kxh2 Rh8+ 31.Nh5 Rxh5+ 32.Kg3 Nh3+ 33.Kg4 Rh4# 0-1')"">","o_10","","",""
"","","","andy","verusamo","1-0","",1200,1200,NA,NA,NA,"","c_10","5 hours","21","checkmate"
"","","","VSavo","centerdrive","0-1","",1278,1279,NA,NA,NA,"","l_10","              10 min","61","resignation"
"","1792.??.??","?","Ward","Field (USA)","1-0","C51",0,0,NA,NA,NA,"1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bb6 5.b5 Na5 6.Nxe5 Qf6 7.Bxf7+ Kf8 8.d4 d6 9.Bxg8 dxe5 10.Bd5 Bxd4 11.f4 Bxa1 12.fxe5 Qxe5 13.O-O+ Ke8 14.Bf7+ 1-0')"">","o_11","","",""
"","","","erik","jay","0-1","",1329,1478,NA,NA,NA,"","c_11","2 days","31","resignation"
"Italy","1797.??.??","?","De Beaurevoir B","Del Rio E","0-1","C30",0,0,NA,NA,NA,"1.e4 e5 2.f4 Bc5 3.Nf3 d6 4.c3 Bg4 5.fxe5 Bxf3 6.Qxf3 dxe5 7.Qg3 Nd7 8.Qxg7 Qh4+ 9.Kd1 Bf8 10.Qxh8 Ndf6 11.d3 Qg4+ 0-1')"">","o_12","","",""
"","","","erik","verusamo","1-0","",1200,1200,NA,NA,NA,"","c_12","5 hours","22","resignation"
"Paris (France)","1802.??.??","?","Madame De Remusat","Napoleon I","0-1","B02",0,0,NA,NA,NA,"1.e4 Nf6 2.d3 Nc6 3.f4 e5 4.fxe5 Nxe5 5.Nc3 Nfg4 6.d4 Qh4+ 7.g3 Qf6 8.Nh3 Nf3+ 9.Ke2 Nxd4+ 10.Kd3 Ne5+ 11.Kxd4 Bc5+ 12.Kxc5 Qb6+ 13.Kd5 Qd6# 0-1')"">","o_13","","",""
"","","","erik","Kngbshpp","1-0","",1621,1154,NA,NA,NA,"","c_13","1 week","18","resignation"
"","","","orland","JustinianP","1-0","",1444,1407,NA,NA,NA,"","l_13","              5 min","26","game abandoned"
"Malmaison Castle (France)","1804.??.??","?","Napoleon I","Madame De Remusat","1-0","A00",0,0,NA,NA,NA,"1.Nc3 e5 2.Nf3 d6 3.e4 f5 4.h3 fxe4 5.Nxe4 Nc6 6.Nfg5 d5 7.Qh5+ g6 8.Qf3 Nh6 9.Nf6+ Ke7 10.Nxd5+ Kd6 11.Ne4+ Kxd5 12.Bc4+ Kxc4 13.Qb3+ Kd4 14.Qd3# 1-0')"">","o_14","","",""
"","","","marsh_1","BeginningIsComing","0-1","",881,1425,NA,NA,NA,"","l_14","              10 min","20","resignation"
"St. Petersburg (Russia)","1807.??.??","?","Petroff Alexander D (RUS)","Sokolow (UKR)","0-1","C40",0,0,NA,NA,NA,"1.e4 e5 2.Nf3 f6 3.Nxe5 fxe5 4.Qh5+ g6 5.Qxe5+ Qe7 6.Qxh8 Nf6 7.d3 d5 8.Bh6 Nbd7 9.Bxf8 Nxf8 10.Nc3 Be6 11.e5 Nh5 12.g4 O-O-O 13.gxh5 Nd7 0-1')"">","o_15","","",""
"","","","Ferris","BOYLE","0-1","",1200,1200,NA,NA,NA,"","c_15","21 hours","25—?,","time"
"","","","jpwagschal","dru128","0-1","",1372,1402,NA,NA,NA,"","l_15","              2|1","40","time"
