"Site","Date","Round","White","Black","Result","ECO","WhiteElo","BlackElo","Annotator","Source","Remark","pgn","ID","Time","Moves","Termination","gameId","initialSetup","lastDate","gameType","plyCount","playerColor","whiteUsername","blackUsername","analysisPgn","isCheckmate","isStalemate","analysisPublic","Event","TimeControl","EndTime","SetUp","FEN0"
"Podolsk (Russia)","1992.??.??","?","Kulikov Oleg (RUS)","Yagupov Igor (RUS)","1-0","A89","2375","2400","","","X","1.d4 f5 2.g3 Nf6 3.Bg2 g6 4.Nf3 Bg7 5.O-O O-O 6.c4 d6 7.Nc3 Nc6 8.d5 Ne5 9.Nxe5 dxe5 10.b3 e4 11.Ba3 Rf7 12.Qc2 e5 13.dxe6 Bxe6 14.Rad1 Qe8 15.f3 exf3 16.exf3 Rd7 17.Rxd7 Qxd7 18.Rd1 Qf7 19.Qd2 c6 20.Ne2 Re8 21.Nf4 Bc8 22.Re1 Nd7 23.Rxe8+ Qxe8 24.Qe2 Qxe2 25.Nxe2 Ne5 26.Bc5 a5 27.Bd4 Nd3 28.Bxg7 Kxg7 29.Nc3 Kf6 30.f4 Ke7 31.Bf1 Nc5 32.Kf2 Kd6 33.Ke3 Bd7 34.Be2 Be8 35.Nd1 b6 36.Nf2 Bf7 37.Kd4 Ne6+ 38.Kc3 c5 39.Bf3 Nd4 40.Bg2 a4 41.Nd3 b5 42.bxa4 b4+ 43.Nxb4 Ne2+ 44.Kd2 cxb4 45.Kxe2 Bxc4+ 46.Kd2 Kc5 47.Bf3 Bxa2 48.Be2 Kb6 49.Kc2 Bd5 50.Bb5 Ka5 51.Be8 Bc4 52.Bd7 Kb6 53.h4 Be2 54.Be8 Bf3 55.Kb3 Kc5 56.a5 Bd5+ 57.Kb2 Kd4 58.a6 Ke3 59.a7 Kf3 60.Bf7 Be4 61.Kb3 Kxg3 62.Kxb4 Kxf4 63.Kc5 Ke5 64.Be8 1-0')"">               <img width=""40"" height=""40"" src=""https://betacssjs.chesscomfiles.com/bundles/web/images/black_400.f2b6793d.png"" alt=""Yagupov Igor "">         <script defer src=""/bundles/app/js/image-defer.es6.ce5c6e21.js""></script>","o_578001","","","","","","","","","","","","","","","","","","","",""
"","","","dafma","RN9","0-1","","927","938","","","","","c_578001","1 hour","2","time","","","","","","","","","","","","","","","","",""
"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","","","","","","","","","","","","","","",""
"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","","","","","","","","","","","","","","",""
"Podolsk (Russia)","1992.??.??","?","Kulikov Oleg (RUS)","Zakharevich Igor (RUS)","1/2-1/2","E94","2375","2345","","","X","1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Nf3 O-O 6.Be2 e5 7.O-O Qe8 8.d5 Nfd7 9.Ne1 f5 10.Nd3 f4 11.Bd2 Nf6 12.f3 Rf7 13.c5 Bf8 14.cxd6 cxd6 15.Nf2 h5 16.Qa4 Qd8 17.Rfc1 g5 18.h3 Rg7 19.Qd1 Na6 20.a4 Qe8 21.Nb5 g4 22.hxg4 hxg4 23.fxg4 Qg6 24.Rc4 Bxg4 25.Nxg4 Nxg4 26.Bxg4 Qxg4 27.Qxg4 Rxg4 28.Ra3 Rd8 29.b4 Rd7 30.Be1 Rdg7 31.Ra2 Be7 32.Kf1 1/2-1/2')"">               <img width=""40"" height=""40"" src=""https://betacssjs.chesscomfiles.com/bundles/web/images/black_400.f2b6793d.png"" alt=""Zakharevich Igor "">         <script defer src=""/bundles/app/js/image-defer.es6.ce5c6e21.js""></script>","o_578002","","","","","","","","","","","","","","","","","","","",""
"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","","","","","","","","","","","","","","","","","",""
"Chess.com","2009.11.05","","Wynchesster","zoma","0-1","A21","1086","997","","","","1. c4 {[%clk 0:01:00]} e5 {[%clk 0:01:00]} 2. Nc3 {[%clk 0:01:00]} d6 {[%clk 0:00:56]} 3. Nf3 {[%clk 0:01:00]} Be6 {[%clk 0:00:53]} 4. d3 {[%clk 0:00:58]} Nf6 {[%clk 0:00:52]} 5. h3 {[%clk 0:00:58]} h6 {[%clk 0:00:53]} 6. Be3 {[%clk 0:00:55]} Nc6 {[%clk 0:00:54]} 7. Qc2 {[%clk 0:00:50]} a6 {[%clk 0:00:54]} 8. O-O-O {[%clk 0:00:45]} d5 {[%clk 0:00:54]} 9. cxd5 {[%clk 0:00:43]} Bxd5 {[%clk 0:00:50]} 10. Nxd5 {[%clk 0:00:40]} Nxd5 {[%clk 0:00:50]} 11. a3 {[%clk 0:00:33]} Bd6 {[%clk 0:00:45]} 12. Kb1 {[%clk 0:00:33]} O-O {[%clk 0:00:46]} 13. Qd2 {[%clk 0:00:30]} Na5 {[%clk 0:00:42]} 14. Bxh6 {[%clk 0:00:29]} gxh6 {[%clk 0:00:42]} 15. Qxh6 {[%clk 0:00:30]} f6 {[%clk 0:00:35]} 16. Qg6+ {[%clk 0:00:25]} Kh8 {[%clk 0:00:35]} 17. Qh6+ {[%clk 0:00:23]} Kg8 {[%clk 0:00:35]} 18. g4 {[%clk 0:00:24]} Rf7 {[%clk 0:00:30]} 19. g5 {[%clk 0:00:22]} Rh7 {[%clk 0:00:29]} 20. Qg6+ {[%clk 0:00:20]} Rg7 {[%clk 0:00:29]} 21. Qf5 {[%clk 0:00:18]} fxg5 {[%clk 0:00:30]} 22. h4 {[%clk 0:00:16]} g4 {[%clk 0:00:31]} 23. Ng5 {[%clk 0:00:13]} Ne7 {[%clk 0:00:24]} 24. Qxg4 {[%clk 0:00:11]} e4 {[%clk 0:00:16]} 25. dxe4 {[%clk 0:00:10]} Nc4 {[%clk 0:00:16]} 26. h5 {[%clk 0:00:05]} Bc5 {[%clk 0:00:16]} 27. Rxd8+ {[%clk 0:00:05]} Rxd8 {[%clk 0:00:15]} 28. h6 {[%clk 0:00:05]} Bxf2 {[%clk 0:00:17]} 29. hxg7 {[%clk 0:00:04]} Ne3 {[%clk 0:00:15]} 30. Ne6 {[%clk 0:00:03]} Rd1+ {[%clk 0:00:15]} 0-1","l_578002","","","time","578002","NULL","NULL","chess","60","NULL","Wynchesster","zoma","NULL","FALSE","FALSE","NULL","Chess","60+2","PST","1","[FEN ""rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1""]"
"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Podolsk (Russia)","1992.??.??","?","Lisik Valery (RUS)","Dmitriev Igor (RUS)","1/2-1/2","A41","2475","2270","","","X","1.d4 g6 2.c4 Bg7 3.Nf3 d6 4.e4 Bg4 5.Be2 Nc6 6.Be3 e5 7.d5 Bxf3 8.Bxf3 Nd4 9.Nc3 c5 10.dxc6 bxc6 11.O-O Ne7 12.c5 dxc5 13.Na4 Rb8 14.Rc1 Rb4 15.b3 c4 16.Bd2 Rb7 17.Nc5 Rb5 18.Rxc4 Qd6 19.Na4 Nxf3+ 20.gxf3 O-O 21.Bg5 Qc7 22.Qc1 Rbb8 23.Nc5 Rbd8 24.Rb4 Qd6 25.Rb7 Bf6 26.Be3 Nc8 27.Qc4 Be7 28.Kg2 Rfe8 29.Rc1 Qf6 30.Nd7 Qh4 31.Qxc6 Bg5 32.Qc5 Re7 33.Rb8 Rexd7 34.Rxc8 Rxc8 35.Qxc8+ Rd8 36.Qc5 Bf4 37.Bxf4 Qxf4 38.Qe7 Rd3 39.Rc8+ Kg7 40.Qf8+ Kf6 41.Rc6+ Kg5 42.Qe7+ Kh6 43.Qf6 Rxf3 44.Qxf4+ Rxf4 45.f3 f5 46.exf5 Rxf5 47.Rc7 a6 48.Rc6 Rg5+ 49.Kh3 Rh5+ 50.Kg3 Rg5+ 51.Kh3 Rh5+ 52.Kg3 Rg5+ 53.Kf2 Rh5 54.Rxa6 Rxh2+ 55.Ke3 Rb2 56.Ke4 Re2+ 57.Kd3 Rf2 58.Ke3 Rb2 59.Ra5 Kg7 60.Ke4 Re2+ 1/2-1/2')"">               <img width=""40"" height=""40"" src=""https://betacssjs.chesscomfiles.com/bundles/web/images/black_400.f2b6793d.png"" alt=""Dmitriev Igor "">         <script defer src=""/bundles/app/js/image-defer.es6.ce5c6e21.js""></script>","o_578003","","","","","","","","","","","","","","","","","","","",""
