"link","type","ID","Event","Date","White","Black","Result","WhiteElo","BlackElo","TimeControl"
"http://www.chess.com/echess/game?id=102202308","echess",102202308,"Let's Play!","2014-12-23","judger1","thinkboolean","*","1660","1502","1 in 5 days"
"http://www.chess.com/echess/game?id=103054734","echess",103054734,"Let's Play!","2015-01-06","thinkboolean","JakeMan7","1/2-1/2","1500","1393","1 in 3 days"
"http://www.chess.com/echess/game?id=104031688","echess",104031688,"Let's Play!","2015-01-22","thinkboolean","risoarcher","0-1","1487","1580","1 in 3 days"
"http://www.chess.com/echess/game?id=103212438","echess",103212438,"Let's Play!","2015-01-09","thinkboolean","aaronogden","*","1504","1498","1 in 5 days"
"http://www.chess.com/livechess/game?id=1045210852","livechess",1045210852,"Live Chess","2015-01-30","Ryan4399","thinkboolean","0-1","1143","1180","5|0"
"http://www.chess.com/livechess/game?id=1045216471","livechess",1045216471,"Live Chess","2015-01-30","thinkboolean","apaulanderson","1-0","1188","1156","5|0"
"http://www.chess.com/livechess/game?id=1045236946","livechess",1045236946,"Live Chess","2015-01-30","thinkboolean","Chess_Dot_Com_Rocks","1-0","1196","1186","5|0"
"http://www.chess.com/livechess/game?id=1045244269","livechess",1045244269,"Live Chess","2015-01-30","gina0611","thinkboolean","1-0","1253","1189","5|0"
"http://www.chess.com/livechess/game?id=1045297005","livechess",1045297005,"Live Chess","2015-01-30","thinkboolean","bossinchess1","1-0","1198","1239","5|0"
"http://www.chess.com/livechess/game?id=1045299164","livechess",1045299164,"Live Chess","2015-01-30","ljmiii","thinkboolean","1-0","1235","1191","5|0"
"http://www.chess.com/livechess/game?id=1045915727","livechess",1045915727,"Live Chess","2015-01-31","thinkboolean","oldtrickyd61","1-0","1198","1146","5|0"
"http://www.chess.com/livechess/game?id=1045927043","livechess",1045927043,"Live Chess","2015-01-31","indramma","thinkboolean","1-0","1225","1190","5|0"
"http://www.chess.com/livechess/game?id=1045935582","livechess",1045935582,"Live Chess","2015-01-31","Jimbob444792","thinkboolean","0-1","1137","1197","5|0"
"http://www.chess.com/livechess/game?id=1046032989","livechess",1046032989,"Live Chess","2015-01-31","thinkboolean","thenextbobby","1-0","1205","1205","5|0"
"http://www.chess.com/livechess/game?id=1046338528","livechess",1046338528,"Live Chess","2015-01-31","thinkboolean","ZekeConquers","0-1","1198","1236","5|0"
"http://www.chess.com/livechess/game?id=1046354745","livechess",1046354745,"Live Chess","2015-01-31","yono12345","thinkboolean","1-0","1169","1189","5|0"
"http://www.chess.com/livechess/game?id=1046380245","livechess",1046380245,"Live Chess","2015-01-31","mckeage","thinkboolean","0-1","1189","1197","5|0"
"http://www.chess.com/livechess/game?id=1046406169","livechess",1046406169,"Live Chess","2015-01-31","thinkboolean","gsarwar13","1-0","1206","1231","5|0"
"http://www.chess.com/livechess/game?id=1046409053","livechess",1046409053,"Live Chess","2015-01-31","gsarwar13","thinkboolean","0-1","1222","1215","5|0"
"http://www.chess.com/livechess/game?id=1046413039","livechess",1046413039,"Live Chess","2015-01-31","thinkboolean","gsarwar13","1-0","1223","1214","5|0"
"http://www.chess.com/livechess/game?id=1046418306","livechess",1046418306,"Live Chess","2015-01-31","gsarwar13","thinkboolean","1-0","1222","1215","5|0"
"http://www.chess.com/livechess/game?id=1047182736","livechess",1047182736,"Live Chess","2015-02-01","thinkboolean","dariofaria","1-0","1222","1184","5|0"
"http://www.chess.com/livechess/game?id=1047247531","livechess",1047247531,"Live Chess","2015-02-01","africa80","thinkboolean","1-0","1235","1214","5|0"
"http://www.chess.com/livechess/game?id=1047300356","livechess",1047300356,"Live Chess","2015-02-01","thinkboolean","harold-duck","1-0","1221","1160","5|0"
"http://www.chess.com/livechess/game?id=1047303279","livechess",1047303279,"Live Chess","2015-02-01","thinkboolean","inomidis","1-0","1228","1180","5|0"
"http://www.chess.com/livechess/game?id=1047307746","livechess",1047307746,"Live Chess","2015-02-01","No0peration","thinkboolean","0-1","1224","1236","5|0"
"http://www.chess.com/livechess/game?id=1047311905","livechess",1047311905,"Live Chess","2015-02-01","pablosp","thinkboolean","0-1","1270","1245","5|0"
"http://www.chess.com/livechess/game?id=1048043190","livechess",1048043190,"Live Chess","2015-02-02","bgreally","thinkboolean","0-1","1245","1253","5|0"
"http://www.chess.com/livechess/game?id=1048072932","livechess",1048072932,"Live Chess","2015-02-02","thinkboolean","TigerOfSweden","0-1","1245","1271","5|0"
"http://www.chess.com/livechess/game?id=1048202900","livechess",1048202900,"Live Chess","2015-02-02","alexdj7","thinkboolean","1-0","1263","1237","5|0"
"http://www.chess.com/livechess/game?id=1048207358","livechess",1048207358,"Live Chess","2015-02-02","thinkboolean","mladenco","1-0","1245","1231","5|0"
"http://www.chess.com/livechess/game?id=1048209558","livechess",1048209558,"Live Chess","2015-02-02","mladenco","thinkboolean","0-1","1223","1253","5|0"
"http://www.chess.com/livechess/game?id=1048216317","livechess",1048216317,"Live Chess","2015-02-02","hirocabrela08","thinkboolean","0-1","1266","1261","5|0"
"http://www.chess.com/livechess/game?id=1048224182","livechess",1048224182,"Live Chess","2015-02-02","thinkboolean","slavkopsn","1-0","1269","1270","5|0"
"http://www.chess.com/livechess/game?id=1048229060","livechess",1048229060,"Live Chess","2015-02-02","slavkopsn","thinkboolean","1-0","1278","1261","5|0"
"http://www.chess.com/livechess/game?id=1048233589","livechess",1048233589,"Live Chess","2015-02-02","thinkboolean","slavkopsn","1-0","1269","1270","5|0"
"http://www.chess.com/livechess/game?id=1048239489","livechess",1048239489,"Live Chess","2015-02-02","slavkopsn","thinkboolean","1-0","1278","1261","5|0"
"http://www.chess.com/livechess/game?id=1048305101","livechess",1048305101,"Live Chess","2015-02-02","thinkboolean","kodsher1","0-1","1253","1277","5|0"
"http://www.chess.com/livechess/game?id=1048311105","livechess",1048311105,"Live Chess","2015-02-02","phillyexile","thinkboolean","1-0","1285","1246","5|0"
"http://www.chess.com/livechess/game?id=1048314445","livechess",1048314445,"Live Chess","2015-02-02","thinkboolean","phillyexile","0-1","1239","1292","5|0"
"http://www.chess.com/livechess/game?id=1048393215","livechess",1048393215,"Live Chess","2015-02-02","thinkboolean","TFHand","1-0","1245","1152","5|0"
"http://www.chess.com/livechess/game?id=1048403255","livechess",1048403255,"Live Chess","2015-02-02","thinkboolean","Xenobi","0-1","1237","1274","5|0"
"http://www.chess.com/livechess/game?id=1048407662","livechess",1048407662,"Live Chess","2015-02-02","gillgadiane","thinkboolean","1-0","1213","1228","5|0"
"http://www.chess.com/livechess/game?id=1048818511","livechess",1048818511,"Live Chess","2015-02-03","lbelsky","thinkboolean","0-1","1254","1237","5|0"
"http://www.chess.com/livechess/game?id=1048827608","livechess",1048827608,"Live Chess","2015-02-03","denislj","thinkboolean","0-1","1170","1244","5|0"
"http://www.chess.com/livechess/game?id=1048837024","livechess",1048837024,"Live Chess","2015-02-03","thinkboolean","jlsangon","0-1","1236","1248","5|0"
"http://www.chess.com/livechess/game?id=1048847894","livechess",1048847894,"Live Chess","2015-02-03","thinkboolean","oldman33","1-0","1244","1230","5|0"
"http://www.chess.com/livechess/game?id=1048855235","livechess",1048855235,"Live Chess","2015-02-03","thinkboolean","trigo7","0-1","1236","1260","3|0"
"http://www.chess.com/livechess/game?id=1049784314","livechess",1049784314,"Live Chess","2015-02-04","jmanselm","thinkboolean","1-0","1246","1228","10|0"
"http://www.chess.com/livechess/game?id=1049787895","livechess",1049787895,"Live Chess","2015-02-04","thinkboolean","jmanselm","1-0","1236","1238","10|0"
"http://www.chess.com/livechess/game?id=1049798545","livechess",1049798545,"Live Chess","2015-02-04","bob9990","thinkboolean","0-1","1199","1243","5|0"
"http://www.chess.com/livechess/game?id=1049806770","livechess",1049806770,"Live Chess","2015-02-04","thinkboolean","bob9990","0-1","1234","1208","5|0"
"http://www.chess.com/livechess/game?id=1049809694","livechess",1049809694,"Live Chess","2015-02-04","julips","thinkboolean","0-1","1257","1243","3|0"
"http://www.chess.com/livechess/game?id=1049814944","livechess",1049814944,"Live Chess","2015-02-04","thinkboolean","julips","1-0","1251","1249","3|0"
"http://www.chess.com/livechess/game?id=1051150806","livechess",1051150806,"Live Chess","2015-02-05","morrisat97","thinkboolean","1-0","1266","1243","3|0"
"http://www.chess.com/livechess/game?id=1051154755","livechess",1051154755,"Live Chess","2015-02-05","qgambit_7","thinkboolean","0-1","1209","1250","3|0"
"http://www.chess.com/livechess/game?id=1051157244","livechess",1051157244,"Live Chess","2015-02-05","thinkboolean","qgambit_7","1-0","1257","1202","3|0"
"http://www.chess.com/livechess/game?id=1051231026","livechess",1051231026,"Live Chess","2015-02-05","JozoOl","thinkboolean","1-0","1243","1248","3|0"
"http://www.chess.com/livechess/game?id=1051233240","livechess",1051233240,"Live Chess","2015-02-05","thinkboolean","drow80","0-1","1240","1259","3|0"
"http://www.chess.com/livechess/game?id=1051241486","livechess",1051241486,"Live Chess","2015-02-05","thinkboolean","rajmanojreddy","0-1","1231","1227","3|0"
"http://www.chess.com/livechess/game?id=1051263591","livechess",1051263591,"Live Chess","2015-02-05","thinkboolean","drmariosanchez","1-0","1239","1238","3|0"
"http://www.chess.com/livechess/game?id=1051311287","livechess",1051311287,"Live Chess","2015-02-05","stubburn","thinkboolean","1-0","1213","1230","3|0"
"http://www.chess.com/livechess/game?id=1051312483","livechess",1051312483,"Live Chess","2015-02-05","thinkboolean","stubburn","1-0","1238","1205","3|0"
"http://www.chess.com/livechess/game?id=1051315216","livechess",1051315216,"Live Chess","2015-02-05","stubburn","thinkboolean","1-0","1214","1229","3|0"
"http://www.chess.com/livechess/game?id=1051316384","livechess",1051316384,"Live Chess","2015-02-05","thinkboolean","stubburn","0-1","1221","1222","3|0"
"http://www.chess.com/livechess/game?id=1051318702","livechess",1051318702,"Live Chess","2015-02-05","stubburn","thinkboolean","1-0","1230","1213","3|0"
"http://www.chess.com/livechess/game?id=1051676186","livechess",1051676186,"Live Chess","2015-02-06","comuniska","thinkboolean","1-0","1238","1205","5|0"
"http://www.chess.com/livechess/game?id=1052006813","livechess",1052006813,"Live Chess","2015-02-06","OstojaK","thinkboolean","0-1","1228","1214","5|0"
"http://www.chess.com/livechess/game?id=1052073970","livechess",1052073970,"Live Chess","2015-02-06","thinkboolean","reyrata","0-1","1205","1180","5|0"
"http://www.chess.com/livechess/game?id=1052078188","livechess",1052078188,"Live Chess","2015-02-06","thinkboolean","dachilles1104","0-1","1198","1241","5|0"
"http://www.chess.com/livechess/game?id=1052080175","livechess",1052080175,"Live Chess","2015-02-06","Perhaja","thinkboolean","0-1","1225","1207","5|0"
"http://www.chess.com/livechess/game?id=1052086651","livechess",1052086651,"Live Chess","2015-02-06","thinkboolean","wav77","0-1","1199","1204","5|0"
"http://www.chess.com/livechess/game?id=1052089657","livechess",1052089657,"Live Chess","2015-02-06","hansver","thinkboolean","1-0","1188","1191","5|0"
"http://www.chess.com/livechess/game?id=1052313433","livechess",1052313433,"Live Chess","2015-02-06","thinkboolean","poorformaster","1-0","1198","1162","5|0"
"http://www.chess.com/livechess/game?id=1052318058","livechess",1052318058,"Live Chess","2015-02-06","poorformaster","thinkboolean","1-0","1171","1189","5|0"
"http://www.chess.com/livechess/game?id=1052576864","livechess",1052576864,"Live Chess","2015-02-07","thinkboolean","iDragon","0-1","1182","1230","5|0"
"http://www.chess.com/livechess/game?id=1052790605","livechess",1052790605,"Live Chess","2015-02-07","thinkboolean","saluafarjat","0-1","1176","1263","5|0"
"http://www.chess.com/livechess/game?id=1054274771","livechess",1054274771,"Live Chess","2015-02-08","joetowey35","thinkboolean","1-0","1188","1168","5|0"
"http://www.chess.com/livechess/game?id=1054277578","livechess",1054277578,"Live Chess","2015-02-08","Konnes","thinkboolean","0-1","1115","1175","5|0"
"http://www.chess.com/livechess/game?id=1054280638","livechess",1054280638,"Live Chess","2015-02-08","thinkboolean","Gilbert_Dice_Clay","0-1","1167","1169","5|0"
"http://www.chess.com/livechess/game?id=1054282321","livechess",1054282321,"Live Chess","2015-02-08","Gilbert_Dice_Clay","thinkboolean","1-0","1177","1159","5|0"
"http://www.chess.com/livechess/game?id=1054507819","livechess",1054507819,"Live Chess","2015-02-09","thinkboolean","StephaneMas","1-0","1166","1126","5|0"
"http://www.chess.com/livechess/game?id=1054508780","livechess",1054508780,"Live Chess","2015-02-09","cesarmasa","thinkboolean","0-1","1183","1175","5|0"
"http://www.chess.com/livechess/game?id=1054510123","livechess",1054510123,"Live Chess","2015-02-09","thinkboolean","BaldUrKkK","0-1","1167","1185","5|0"
"http://www.chess.com/livechess/game?id=1057019716","livechess",1057019716,"Live Chess","2015-02-11","thinkboolean","goodtime","1-0","1176","1187","5|0"
"http://www.chess.com/livechess/game?id=1057022886","livechess",1057022886,"Live Chess","2015-02-11","ingeloa","thinkboolean","1-0","1222","1169","5|0"
"http://www.chess.com/livechess/game?id=1057030725","livechess",1057030725,"Live Chess","2015-02-11","thinkboolean","lauti123","0-1","1161","1185","5|0"
"http://www.chess.com/livechess/game?id=1057089187","livechess",1057089187,"Live Chess","2015-02-11","BurakBakkal","thinkboolean","1-0","1144","1152","5|0"
"http://www.chess.com/livechess/game?id=1057092496","livechess",1057092496,"Live Chess","2015-02-11","thinkboolean","Galenocubano","0-1","1145","1194","5|0"
"http://www.chess.com/livechess/game?id=1057098935","livechess",1057098935,"Live Chess","2015-02-11","kgx","thinkboolean","0-1","1145","1153","5|0"
"http://www.chess.com/livechess/game?id=1057102992","livechess",1057102992,"Live Chess","2015-02-11","hwhap","thinkboolean","0-1","1124","1161","5|0"
"http://www.chess.com/livechess/game?id=1057109297","livechess",1057109297,"Live Chess","2015-02-11","thinkboolean","senolip","0-1","1153","1178","5|0"
