"type","ID","pgn","color","move","piece","x","y","sq"
"echess","101575620","1.e4","white","1","pawn","e","4","e4"
"echess","101575620","1...e6","black","1","pawn","e","6","e6"
"echess","101575620","2.e5","white","2","pawn","e","5","e5"
"echess","101575620","2...Qh4","black","2","Queen","h","4","h4"
"echess","101575620","3.Nf3","white","3","Knight","f","3","f3"
"echess","101575620","3...Qe4+","black","3","Queen","e","4","e4"
"echess","101575620","4.Be2","white","4","Bishop","e","2","e2"
"echess","101575620","4...Nc6","black","4","Knight","c","6","c6"
"echess","101575620","5.Nc3","white","5","Knight","c","3","c3"
"echess","101575620","5...Qg4","black","5","Queen","g","4","g4"
"echess","101575620","6.O-O","white","6","pawn","multiple","1|8","castle"
"echess","101575620","6...Qh5","black","6","Queen","h","5","h5"
"echess","101575620","7.d4","white","7","pawn","d","4","d4"
"echess","101575620","7...b6","black","7","pawn","b","6","b6"
"echess","101575620","8.Nb5","white","8","Knight","b","5","b5"
"echess","101575620","8...Kd8","black","8","King","d","8","d8"
"echess","101575620","9.Bg5+","white","9","Bishop","g","5","g5"
"echess","101575620","9...f6","black","9","pawn","f","6","f6"
"echess","101575620","10.exf6","white","10","pawn","f","6","f6"
"echess","101575620","10...gxf6","black","10","pawn","f","6","f6"
"echess","101575620","11.Bxf6","white","11","Bishop","f","6","f6"
"echess","101575620","11...Nxf6","black","11","Knight","f","6","f6"
"echess","101575620","12.Ne5","white","12","Knight","e","5","e5"
"echess","101575620","12...Qe8","black","12","Queen","e","8","e8"
"echess","101575620","13.a4","white","13","pawn","a","4","a4"
"echess","101575620","13...Ba6","black","13","Bishop","a","6","a6"
"echess","101575620","14.Ra3","white","14","Rook","a","3","a3"
"echess","101575620","14...Bxa3","black","14","Bishop","a","3","a3"
"echess","101575620","15.bxa3","white","15","pawn","a","3","a3"
"echess","101575620","15...d6","black","15","pawn","d","6","d6"
"echess","103082236","1.c4","white","1","pawn","c","4","c4"
"echess","103082236","1...e6","black","1","pawn","e","6","e6"
"echess","103082236","2.Nc3","white","2","Knight","c","3","c3"
"echess","103082236","2...Qh4","black","2","Queen","h","4","h4"
"echess","103082236","3.e3","white","3","pawn","e","3","e3"
"echess","103082236","3...Nc6","black","3","Knight","c","6","c6"
"echess","103082236","4.Nf3","white","4","Knight","f","3","f3"
"echess","103082236","4...Qh5","black","4","Queen","h","5","h5"
"echess","103082236","5.Be2","white","5","Bishop","e","2","e2"
"echess","103082236","5...b6","black","5","pawn","b","6","b6"
"echess","103082236","6.O-O","white","6","pawn","multiple","1|8","castle"
"echess","103082236","6...Bd6","black","6","Bishop","d","6","d6"
"echess","103082236","7.Ne4","white","7","Knight","e","4","e4"
"echess","103082236","7...Bb7","black","7","Bishop","b","7","b7"
"echess","103082236","8.Nxd6+","white","8","Knight","d","6","d6"
"echess","103082236","8...cxd6","black","8","pawn","d","6","d6"
"echess","103082236","9.b3","white","9","pawn","b","3","b3"
"echess","103082236","9...Ne5","black","9","Knight","e","5","e5"
"echess","103082236","10.Bb2","white","10","Bishop","b","2","b2"
"echess","103082236","10...Qg6","black","10","Queen","g","6","g6"
"echess","103082236","11.d4","white","11","pawn","d","4","d4"
"echess","103082236","11...Ng4","black","11","Knight","g","4","g4"
"echess","103082236","12.Nh4","white","12","Knight","h","4","h4"
"echess","103082236","12...Qg5","black","12","Queen","g","5","g5"
"echess","103082236","13.g3","white","13","pawn","g","3","g3"
"echess","103082236","13...N8h6","black","13","Knight","h","6","h6"
"echess","103082236","14.h3","white","14","pawn","h","3","h3"
"echess","103082236","14...Nf6","black","14","Knight","f","6","f6"
"echess","103082236","15.Bf3","white","15","Bishop","f","3","f3"
"echess","103082236","15...Ne4","black","15","Knight","e","4","e4"
"echess","103082236","16.Bxe4","white","16","Bishop","e","4","e4"
"echess","103082236","16...Bxe4","black","16","Bishop","e","4","e4"
"echess","103082236","17.Nf3","white","17","Knight","f","3","f3"
"echess","103082236","17...Qf5","black","17","Queen","f","5","f5"
"echess","103082236","18.Kg2","white","18","King","g","2","g2"
"echess","103082236","18...g5","black","18","pawn","g","5","g5"
"echess","103082236","19.d5","white","19","pawn","d","5","d5"
"echess","103082236","19...Ke7","black","19","King","e","7","e7"
"echess","103082236","20.Bxh8","white","20","Bishop","h","8","h8"
"echess","103082236","20...Rxh8","black","20","Rook","h","8","h8"
"echess","103082236","21.Rh1","white","21","Rook","h","1","h1"
"echess","103082236","21...g4","black","21","pawn","g","4","g4"
"echess","103082236","22.hxg4","white","22","pawn","g","4","g4"
"echess","103082236","22...Nxg4","black","22","Knight","g","4","g4"
"echess","103082236","23.Rh4","white","23","Rook","h","4","h4"
"echess","103082236","23...h5","black","23","pawn","h","5","h5"
"echess","103082236","24.Qe2","white","24","Queen","e","2","e2"
"echess","103082236","24...exd5","black","24","pawn","d","5","d5"
"echess","103082236","25.cxd5","white","25","pawn","d","5","d5"
"echess","103082236","25...Qxd5","black","25","Queen","d","5","d5"
"echess","103082236","26.Rd1","white","26","Rook","d","1","d1"
"echess","103082236","26...Qc5","black","26","Queen","c","5","c5"
"echess","103082236","27.Kg1","white","27","King","g","1","g1"
"echess","103082236","27...Qc3","black","27","Queen","c","3","c3"
"echess","103082236","28.Rd4","white","28","Rook","d","4","d4"
"echess","103082236","28...d5","black","28","pawn","d","5","d5"
"echess","103082236","29.Ng5","white","29","Knight","g","5","g5"
"echess","103082236","29...Rc8","black","29","Rook","c","8","c8"
"echess","103082236","30.Nxe4","white","30","Knight","e","4","e4"
"echess","103082236","30...dxe4","black","30","pawn","e","4","e4"
"echess","103082236","31.Rxe4+","white","31","Rook","e","4","e4"
"echess","103082236","31...Kf6","black","31","King","f","6","f6"
"echess","103082236","32.Rxh5","white","32","Rook","h","5","h5"
"echess","103082236","32...Qc1+","black","32","Queen","c","1","c1"
"echess","103082236","33.Kc2","white","33","King","c","2","c2"
"echess","103082236","33...Rc2","black","33","Rook","c","2","c2"
"echess","103082236","34.Qf3+","white","34","Queen","f","3","f3"
"echess","103082236","34...Kg7","black","34","King","g","7","g7"
"echess","103082236","35.Qxg4+","white","35","Queen","g","4","g4"
"echess","103082236","35...Kf8","black","35","King","f","8","f8"
"echess","103082236","36.Rh8#","white","36","Rook","h","8","h8"
"echess","103058746","1.e3","white","1","pawn","e","3","e3"
"echess","103058746","1...e5","black","1","pawn","e","5","e5"
"echess","103058746","2.Qg4","white","2","Queen","g","4","g4"
"echess","103058746","2...Nc6","black","2","Knight","c","6","c6"
