"variable","class","unique","is.na","has.content","empty.strings","File"
"Site","character",44,0,984,1402,"data/chess.com IDs 1-1000.csv"
"Date","character",47,0,1000,1386,"data/chess.com IDs 1-1000.csv"
"Round","character",33,0,1000,1386,"data/chess.com IDs 1-1000.csv"
"White","character",1026,0,2386,0,"data/chess.com IDs 1-1000.csv"
"Black","character",1041,0,2386,0,"data/chess.com IDs 1-1000.csv"
"Result","character",6,0,2267,119,"data/chess.com IDs 1-1000.csv"
"ECO","character",100,0,1000,1386,"data/chess.com IDs 1-1000.csv"
"WhiteElo","integer",697,0,2386,0,"data/chess.com IDs 1-1000.csv"
"BlackElo","integer",718,0,2386,0,"data/chess.com IDs 1-1000.csv"
"Annotator","logical",1,2386,0,0,"data/chess.com IDs 1-1000.csv"
"Source","logical",1,2386,0,0,"data/chess.com IDs 1-1000.csv"
"Remark","logical",1,2386,0,0,"data/chess.com IDs 1-1000.csv"
"pgn","character",1001,0,1000,1386,"data/chess.com IDs 1-1000.csv"
"ID","character",2384,0,2386,0,"data/chess.com IDs 1-1000.csv"
"Time","character",127,1,1385,1000,"data/chess.com IDs 1-1000.csv"
"Moves","character",80,0,1386,1000,"data/chess.com IDs 1-1000.csv"
"Termination","character",6,0,1386,1000,"data/chess.com IDs 1-1000.csv"
"Site","character",44,0,984,1402,"data/chess.com IDs 1-1000.csv"
"Date","character",47,0,1000,1386,"data/chess.com IDs 1-1000.csv"
"Round","character",33,0,1000,1386,"data/chess.com IDs 1-1000.csv"
"White","character",1026,0,2386,0,"data/chess.com IDs 1-1000.csv"
"Black","character",1041,0,2386,0,"data/chess.com IDs 1-1000.csv"
"Result","character",6,0,2267,119,"data/chess.com IDs 1-1000.csv"
"ECO","character",100,0,1000,1386,"data/chess.com IDs 1-1000.csv"
"WhiteElo","integer",697,0,2386,0,"data/chess.com IDs 1-1000.csv"
"BlackElo","integer",718,0,2386,0,"data/chess.com IDs 1-1000.csv"
"Annotator","logical",1,2386,0,0,"data/chess.com IDs 1-1000.csv"
"Source","logical",1,2386,0,0,"data/chess.com IDs 1-1000.csv"
"Remark","logical",1,2386,0,0,"data/chess.com IDs 1-1000.csv"
"pgn","character",1001,0,1000,1386,"data/chess.com IDs 1-1000.csv"
"ID","character",2384,0,2386,0,"data/chess.com IDs 1-1000.csv"
"Time","character",127,1,1385,1000,"data/chess.com IDs 1-1000.csv"
"Moves","character",80,0,1386,1000,"data/chess.com IDs 1-1000.csv"
"Termination","character",6,0,1386,1000,"data/chess.com IDs 1-1000.csv"
"Site","character",43,0,977,1506,"data/chess.com IDs 1001-2000.csv"
"Date","character",18,0,1000,1483,"data/chess.com IDs 1001-2000.csv"
