"","gameID","pgn"
"1","beta1","1.e4"
"2","beta1","1...f6"
"3","beta1","2.Bc4"
"4","beta1","2...e5"
"5","beta1","3.d4"
"6","beta1","3...c6"
"7","beta1","4.dxe5"
"8","beta1","4...fxe5"
"9","beta1","5.Nf3"
"10","beta1","5...d5"
"11","beta1","6.exd5"
"12","beta1","6...cxd5"
"13","beta1","7.Bb3"
"14","beta1","7...Qa5+"
"15","beta1","8.c3"
"16","beta1","8...Bg4"
"17","beta1","9.Bxd5"
"18","beta1","9...Bxf3"
"19","beta1","10.Qxf3"
"20","beta1","10...Nc6"
"21","beta1","11.Qf7+"
"22","beta1","11...Kd8"
"23","beta1","12.Qxf8+"
"24","beta1","12...Kc7"
"25","beta1","13.Qxa8"
"26","beta1","13...Qxd5"
"27","beta1","14.O-O"
"28","beta1","14...Qf7"
"29","beta1","15.Bg5"
"30","beta1","15...h6"
"31","beta1","16.Be3"
"32","beta1","16...b6"
"33","beta1","17.Na3"
"34","beta1","17...Kd6"
"35","beta1","18.Rad1+"
"36","beta1","18...Ke6"
"37","beta1","19.Qxc6+"
"38","beta1","19...Kf5"
"39","beta2","1.e4"
"40","beta2","1...e6"
"41","beta2","2.d4"
"42","beta2","2...Nf6"
"43","beta2","3.Bd3"
"44","beta2","3...c6"
"45","beta2","4.Nf3"
"46","beta2","4...h6"
"47","beta2","5.c3"
"48","beta2","5...Qa5"
"49","beta2","6.O-O"
"50","beta2","6...Qh5"
"51","beta2","7.Bf4"
"52","beta2","7...g5"
"53","beta2","8.Bg3"
"54","beta2","8...d5"
"55","beta2","9.exd5"
"56","beta2","9...Nxd5"
"57","beta2","10.Ne5"
"58","beta2","10...Qxd1"
"59","beta2","11.Rxd1"
"60","beta2","11...Nd7"
"61","beta2","12.Nxd7"
"62","beta2","12...Bxd7"
"63","beta2","13.c4"
"64","beta2","13...Nf4"
"65","beta2","14.Bxf4"
"66","beta2","14...gxf4"
"67","beta2","15.Be4"
"68","beta2","15...Bd6"
"69","beta2","16.Bf3"
"70","beta2","16...e5"
"71","beta2","17.dxe5"
"72","beta2","17...Bxe5"
"73","beta2","18.Re1"
"74","beta2","18...f6"
"75","beta2","19.Bh5+"
"76","beta2","19...Kf8"
"77","beta2","20.Nc3"
"78","beta2","20...Kg7"
"79","beta2","21.Rad1"
"80","beta2","21...Rad8"
"81","beta2","22.Na4"
"82","beta2","22...b5"
"83","beta2","23.Nc5"
"84","beta2","23...Bf5"
"85","beta2","24.Rxd8"
"86","beta2","24...Rxd8"
"87","beta2","25.b3"
"88","beta2","25...a5"
"89","beta2","26.Rd1"
"90","beta2","26...Rd4"
"91","beta2","27.Rxd4"
"92","beta2","27...Bxd4"
"93","beta2","28.Nb7"
"94","beta2","28...Bc5"
"95","beta2","29.Nxa5"
"96","beta2","29...Bb1"
"97","beta2","30.Nxc6"
"98","beta2","30...Bxa2"
"99","beta2","31.b4"
"100","beta2","31...Bd6"
"101","beta2","32.cxb5"
"102","beta2","32...Bd5"
"103","beta2","33.Bf3"
"104","beta2","33...Bxf3"
"105","beta2","34.gxf3"
"106","beta2","34...Kf7"
"107","beta2","35.b6"
"108","beta2","35...Ke6"
"109","beta2","36.b5"
"110","beta2","36...Kd7"
"111","beta2","37.Na7"
"112","beta2","37...Bb8"
"113","beta2","38.Kg2"
"114","beta2","38...Kd6"
"115","beta2","39.Kh3"
"116","beta2","39...Kc5"
"117","beta2","40.b7"
"118","beta2","40...Bxa7"
"119","beta2","41.Kh4"
"120","beta2","41...Kb6"
"121","beta2","42.Kh5"
"122","beta2","42...Kxb7"
"123","beta2","43.Kxh6"
"124","beta2","43...Bxf2"
"125","beta2","44.Kg6"
"126","beta2","44...Bg1"
"127","beta2","45.Kxf6"
"128","beta2","45...Bxh2"
"129","beta2","46.Ke5"
"130","beta2","46...Kb6"
"131","beta2","47.Kd5"
"132","beta2","47...Kxb5"
"133","beta3","1.e3"
"134","beta3","1...a6"
"135","beta3","2.b3"
"136","beta3","2...h6"
"137","beta3","3.Qg4"
"138","beta3","3...Nf6"
"139","beta3","4.Qf4"
"140","beta3","4...d6"
"141","beta3","5.Bc4"
"142","beta3","5...e6"
"143","beta3","6.g4"
"144","beta3","6...d5"
"145","beta3","7.Bd3"
"146","beta3","7...g5"
"147","beta3","8.Qg3"
"148","beta3","8...Nc6"
"149","beta3","9.Bb2"
"150","beta3","9...Rg8"
"151","beta3","10.f4"
"152","beta3","10...gxf4"
"153","beta3","11.Qxf4"
"154","beta3","11...Rxg4"
"155","beta3","12.Qf2"
"156","beta3","12...e5"
"157","beta3","13.Be2"
"158","beta3","13...Rg6"
"159","beta3","14.d4"
"160","beta3","14...Bb4+"
"161","beta3","15.c3"
"162","beta3","15...Bd6"
"163","beta3","16.Na3"
"164","beta3","16...Ne4"
"165","beta3","17.Qf3"
"166","beta3","17...Qh4+"
"167","beta3","18.Kd1"
"168","beta3","18...Nf2+"
"169","beta3","19.Kd2"
"170","beta3","19...Bg4"
"171","beta3","20.Qg2"
"172","beta3","20...Bf5"
"173","beta3","21.Nf3"
"174","beta3","21...Be4"
"175","beta3","22.Nxh4"
"176","beta3","22...Rxg2"
"177","beta3","23.Nxg2"
"178","beta3","23...Bxg2"
"179","beta3","24.Rhg1"
"180","beta3","24...Ne4+"
"181","beta3","25.Ke1"
"182","beta3","25...Bh3"
"183","beta3","26.Bf3"
"184","beta3","26...Ng5"
"185","beta3","27.Bxd5"
"186","beta3","27...Na5"
"187","beta3","28.b4"
"188","beta3","28...c6"
"189","beta3","29.Bg2"
"190","beta3","29...Bxg2"
"191","beta3","30.Rxg2"
"192","beta3","30...Bxb4"
"193","beta3","31.cxb4"
"194","beta3","31...Nf3+"
"195","beta3","32.Kf2"
"196","beta3","32...Nh4"
"197","beta3","33.bxa5"
"198","beta3","33...Rd8"
"199","beta3","34.Rg8+"
"200","beta3","34...Ke7"
"201","beta3","35.Rxd8"
"202","beta3","35...Kxd8"
"203","beta3","36.Rg1"
"204","beta3","36...exd4"
"205","beta3","37.Bxd4"
"206","beta3","37...f5"
"207","beta3","38.Rg8+"
"208","beta3","38...Ke7"
"209","beta3","39.Rb8"
"210","beta3","39...b5"
"211","beta3","40.axb6"
"212","beta3","40...f4"
"213","beta3","41.exf4"
"214","beta3","41...Nf5"
"215","beta3","42.Be5"
"216","beta3","42...h5"
"217","beta3","43.Ra8"
"218","beta3","43...h4"
"219","beta3","44.Rxa6"
"220","beta3","44...h3"
"221","beta3","45.b7"
"222","beta3","45...Ke6"
"223","beta3","46.b8=Q"
"224","beta3","46...Kd5"
"225","beta3","47.Qc8"
"226","beta3","47...c5"
"227","beta3","48.Qxf5"
"228","beta3","48...c4"
"229","beta3","49.Nb5"
"230","beta3","49...c3"
