"type","ID","pgn","color","move","piece","x","y","sq"
"livechess","1015670819","12...Qxc3","black","12","Queen","c","3","c3"
"livechess","1015670819","13.bxc3","white","13","pawn","c","3","c3"
"livechess","1015670819","19.exf6","white","19","pawn","f","6","f6"
"livechess","1015670819","19...Nxf6","black","19","Knight","f","6","f6"
"livechess","1015670819","21.fxe6","white","21","pawn","e","6","e6"
"livechess","1015670819","21...Bxe6","black","21","Bishop","e","6","e6"
"livechess","1015670819","22.Bxe6","white","22","Bishop","e","6","e6"
"livechess","1015670819","22...dxe6","black","22","pawn","e","6","e6"
"livechess","1015670819","23.Bxc7","white","23","Bishop","c","7","c7"
"livechess","1015670819","25...exd5","black","25","pawn","d","5","d5"
"livechess","1015670819","26.cxd5","white","26","pawn","d","5","d5"
"livechess","1015670819","29...Nxc7","black","29","Knight","c","7","c7"
"livechess","1015670819","30.Nxf6","white","30","Knight","f","6","f6"
"livechess","1015670819","30...gxf6","black","30","pawn","f","6","f6"
"livechess","1015670819","34.Qxd6","white","34","Queen","d","6","d6"
"livechess","1015670819","44.Qxf3","white","44","Queen","f","3","f3"
"livechess","1015670819","46.Qf2#","white","46","Queen","f","2","f2"
"livechess","1015695519","8...Qxg2","black","8","Queen","g","2","g2"
"livechess","1015695519","14...gxh3","black","14","pawn","h","3","h3"
"livechess","1015695519","15.Qxh5+","white","15","Queen","h","5","h5"
"livechess","1015695519","16.Qxh3","white","16","Queen","h","3","h3"
"livechess","1015695519","19.Bxe6","white","19","Bishop","e","6","e6"
"livechess","1015695519","19...dxe6","black","19","pawn","e","6","e6"
"livechess","1015695519","21.Nxd5","white","21","Knight","d","5","d5"
"livechess","1015695519","22...bxa3","black","22","pawn","a","3","a3"
"livechess","1015695519","23.Nxa3","white","23","Knight","a","3","a3"
"livechess","1015695519","28...Nxe3","black","28","Knight","e","3","e3"
"livechess","1015695519","31.Qxe6","white","31","Queen","e","6","e6"
"livechess","1015695519","31...Nxf4","black","31","Knight","f","4","f4"
"livechess","1015695519","32.Qxf5","white","32","Queen","f","5","f5"
"livechess","1015695519","32...Bxa3","black","32","Bishop","a","3","a3"
"livechess","1015695519","33.Qxf4","white","33","Queen","f","4","f4"
"livechess","1015695519","36...Bxd6","black","36","Bishop","d","6","d6"
"livechess","1015695519","37.exd6","white","37","pawn","d","6","d6"
"livechess","1015695519","40.Qd7#","white","40","Queen","d","7","d7"
"livechess","1016957493","11...Bxb5","black","11","Bishop","b","5","b5"
"livechess","1016957493","12.Nxb5","white","12","Knight","b","5","b5"
"livechess","1016957493","12...Bxb2","black","12","Bishop","b","2","b2"
"livechess","1016957493","13.Nxc7+","white","13","Knight","c","7","c7"
"livechess","1016957493","14.Bxc6","white","14","Bishop","c","6","c6"
"livechess","1016957493","14...dxc6","black","14","pawn","c","6","c6"
"livechess","1016957493","15...Kxc7","black","15","King","c","7","c7"
"livechess","1016957493","16.Rxb2","white","16","Rook","b","2","b2"
"livechess","1016957493","16...Qxa3","black","16","Queen","a","3","a3"
"livechess","1016957493","24...Qxh2","black","24","Queen","h","2","h2"
"livechess","1016957493","29.Rxb5","white","29","Rook","b","5","b5"
"livechess","1016957493","29...Rxb5","black","29","Rook","b","5","b5"
"livechess","1016957493","32...Rxf1","black","32","Rook","f","1","f1"
"livechess","1016957493","34.Qxa8+","white","34","Queen","a","8","a8"
"livechess","1016957493","35.Qxa7+","white","35","Queen","a","7","a7"
"livechess","1016957493","38.Qxe7+","white","38","Queen","e","7","e7"
"livechess","1016957493","39.Qb7#","white","39","Queen","b","7","b7"
"livechess","1016974745","14...bxc3","black","14","pawn","c","3","c3"
"livechess","1016974745","15.bxc3","white","15","pawn","c","3","c3"
"livechess","1016974745","20...cxd3","black","20","pawn","d","3","d3"
"livechess","1016974745","21.cxd3","white","21","pawn","d","3","d3"
"livechess","1016974745","23.exd5","white","23","pawn","d","5","d5"
"livechess","1016974745","23...Bxd5","black","23","Bishop","d","5","d5"
"livechess","1016974745","24...Bxf3","black","24","Bishop","f","3","f3"
"livechess","1016974745","25.Bxf3","white","25","Bishop","f","3","f3"
"livechess","1016974745","27...Nxd5","black","27","Knight","d","5","d5"
"livechess","1016974745","28.cxd5","white","28","pawn","d","5","d5"
"livechess","1016974745","30.dxe4","white","30","pawn","e","4","e4"
"livechess","1016974745","30...fxe4","black","30","pawn","e","4","e4"
"livechess","1016974745","32...Bxb2","black","32","Bishop","b","2","b2"
"livechess","1016974745","33.Bxb2+","white","33","Bishop","b","2","b2"
"livechess","1016974745","36...exf3+","black","36","pawn","f","3","f3"
"livechess","1016974745","37.Rxf3","white","37","Rook","f","3","f3"
"livechess","1016974745","37...Nxf3","black","37","Knight","f","3","f3"
"livechess","1016974745","39.Bxe1","white","39","Bishop","e","1","e1"
"livechess","1016974745","39...Qf1#","black","39","Queen","f","1","f1"
"livechess","1016993516","7...Nxf3+","black","7","Knight","f","3","f3"
"livechess","1016993516","8...Nxg5","black","8","Knight","g","5","g5"
"livechess","1016993516","11.Qxh3","white","11","Queen","h","3","h3"
"livechess","1016993516","14...Bxe4","black","14","Bishop","e","4","e4"
"livechess","1016993516","15...Nxf4","black","15","Knight","f","4","f4"
"livechess","1016993516","16.gxf4","white","16","pawn","f","4","f4"
