"","Event","Site","Date","White","Black","Result","WhiteElo","BlackElo","TimeControl","Termination","pgn"
"beta1","Live Chess","Chess.com","2012.12.06","johnbek","thinkboolean","1-0","1128","1079","10|0","johnbek won by resignation"," 1.e4 f6 2.Bc4 e5 3.d4 c6 4.dxe5 fxe5 5.Nf3 d5 6.exd5 cxd5 7.Bb3 Qa5+ 8.c3 Bg4 9.Bxd5 Bxf3 10.Qxf3 Nc6 11.Qf7+ Kd8 12.Qxf8+ Kc7 13.Qxa8 Qxd5 14.O-O Qf7 15.Bg5 h6 16.Be3 b6 17.Na3 Kd6 18.Rad1+ Ke6 19.Qxc6+ Kf5 1-0 "
"beta2","Live Chess","Chess.com","2012.12.06","SnakeMama9","thinkboolean","0-1","1044","1086","10|0","thinkboolean won on time"," 1.e4 e6 2.d4 Nf6 3.Bd3 c6 4.Nf3 h6 5.c3 Qa5 6.O-O Qh5 7.Bf4 g5 8.Bg3 d5 9.exd5 Nxd5 10.Ne5 Qxd1 11.Rxd1 Nd7 12.Nxd7 Bxd7 13.c4 Nf4 14.Bxf4 gxf4 15.Be4 Bd6 16.Bf3 e5 17.dxe5 Bxe5 18.Re1 f6 19.Bh5+ Kf8 20.Nc3 Kg7 21.Rad1 Rad8 22.Na4 b5 23.Nc5 Bf5 24.Rxd8 Rxd8 25.b3 a5 26.Rd1 Rd4 27.Rxd4 Bxd4 28.Nb7 Bc5 29.Nxa5 Bb1 30.Nxc6 Bxa2 31.b4 Bd6 32.cxb5 Bd5 33.Bf3 Bxf3 34.gxf3 Kf7 35.b6 Ke6 36.b5 Kd7 37.Na7 Bb8 38.Kg2 Kd6 39.Kh3 Kc5 40.b7 Bxa7 41.Kh4 Kb6 42.Kh5 Kxb7 43.Kxh6 Bxf2 44.Kg6 Bg1 45.Kxf6 Bxh2 46.Ke5 Kb6 47.Kd5 Kxb5 0-1 "
"beta3","Live Chess","Chess.com","2012.12.06","thinkboolean","Ashfaq35","1-0","1092","973","10|0","thinkboolean won by checkmate"," 1.e3 a6 2.b3 h6 3.Qg4 Nf6 4.Qf4 d6 5.Bc4 e6 6.g4 d5 7.Bd3 g5 8.Qg3 Nc6 9.Bb2 Rg8 10.f4 gxf4 11.Qxf4 Rxg4 12.Qf2 e5 13.Be2 Rg6 14.d4 Bb4+ 15.c3 Bd6 16.Na3 Ne4 17.Qf3 Qh4+ 18.Kd1 Nf2+ 19.Kd2 Bg4 20.Qg2 Bf5 21.Nf3 Be4 22.Nxh4 Rxg2 23.Nxg2 Bxg2 24.Rhg1 Ne4+ 25.Ke1 Bh3 26.Bf3 Ng5 27.Bxd5 Na5 28.b4 c6 29.Bg2 Bxg2 30.Rxg2 Bxb4 31.cxb4 Nf3+ 32.Kf2 Nh4 33.bxa5 Rd8 34.Rg8+ Ke7 35.Rxd8 Kxd8 36.Rg1 exd4 37.Bxd4 f5 38.Rg8+ Ke7 39.Rb8 b5 40.axb6 f4 41.exf4 Nf5 42.Be5 h5 43.Ra8 h4 44.Rxa6 h3 45.b7 Ke6 46.b8=Q Kd5 47.Qc8 c5 48.Qxf5 c4 49.Nb5 c3 50.Bd4+ Kc4 51.Rc6+ Kb4 52.Bxc3+ Ka4 53.Rc4# 1-0 "
"beta4","Live Chess","Chess.com","2012.12.06","dcastil5","thinkboolean","1-0","943","1080","10|0","dcastil5 won by checkmate"," 1.Nc3 e6 2.d3 b6 3.e4 Bb7 4.Bf4 d6 5.Nb5 Be7 6.Qf3 Nf6 7.O-O-O Nfd7 8.Qg4 g6 9.e5 f5 10.Qg3 dxe5 11.Bg5 Bxg5+ 12.Kb1 a6 13.Nf3 Bf6 14.Nc3 e4 15.dxe4 Bxc3 16.bxc3 Bxe4 17.Ne5 Qf6 18.Nxd7 Nxd7 19.Qxc7 Rd8 20.Bxa6 Bxg2 21.Rhe1 Be4 22.Bb5 Qf7 23.c4 h5 24.c5 Rh7 25.c6 Nc5 26.Qxb6 Rxd1+ 27.Rxd1 Qa7 28.c7+ Kf8 29.Qxa7 Kg7 30.Qxc5 Kh6 31.c8=Q Bd5 32.Q5f8+ Rg7 33.Qh8+ Rh7 34.Qf6 h4 35.Qxh4+ Kg7 36.Qc7+ Kg8 37.Qcxh7+ Kf8 38.Q4e7# 1-0 "
"beta5","Live Chess","Chess.com","2012.12.06","thinkboolean","dcastil5","1-0","1085","935","10|0","thinkboolean won by checkmate"," 1.e3 Nc6 2.Bd3 d6 3.Qe2 Be6 4.h3 Qd7 5.Nf3 O-O-O 6.Nd4 Nf6 7.b3 d5 8.Ba3 Ne4 9.Nc3 Nxc3 10.dxc3 g6 11.Nb5 h5 12.Bc5 b6 13.Bd4 g5 14.Bxh8 g4 15.h4 g3 16.fxg3 Bg4 17.Qf2 Ne5 18.Bxe5 f6 19.Bd4 Bh6 20.Nxa7+ Kb8 21.Bb5 Qe6 22.Nc6+ Kc8 23.Nxd8 Kxd8 24.Kd2 c6 25.Ba6 c5 26.Bxc5 bxc5 27.Bd3 c4 28.bxc4 dxc4 29.Be2 Qd5+ 30.Ke1 Bf5 31.Bxc4 Qxc4 32.Qxf5 Qxc3+ 33.Kf2 Qxe3+ 34.Kf1 Qxg3 35.Rd1+ Ke8 36.Qd7+ Kf7 37.Qd5+ e6 38.Qxh5+ Kg7 39.Rd7+ Kf8 40.Qxh6+ Ke8 41.Rd3 Qg4 42.Rhh3 Qf5+ 43.Rhf3 Qg4 44.Rxf6 e5 45.Qf8# 1-0 "
"beta6","Live Chess","Chess.com","2012.12.07","rogiejake","thinkboolean","0-1","1031","1092","10|0","thinkboolean won by resignation"," 1.e4 e6 2.Nf3 b6 3.d4 h6 4.Bd3 Bb7 5.Nc3 Be7 6.O-O Bg5 7.d5 exd5 8.exd5 f6 9.Bg6+ Kf8 10.d6 cxd6 11.Qxd6+ Ne7 12.Re1 Nbc6 13.Nd5 h5 14.Rxe7 Nxe7 15.Nxg5 Bxd5 16.Nh7+ Kg8 17.Bh6 Rxh7 18.Bxh7+ Kxh7 19.Qf4 Ng6 20.Qe3 Qe7 21.Qd2 Re8 22.h3 Qe4 23.f3 Qh4 24.Qxd5 Re1+ 25.Rxe1 Qxe1+ 26.Kh2 Kxh6 27.Qxd7 Qe5+ 28.Kh1 Qxb2 29.Qf5 Ne7 30.Qf4+ g5 31.Qc7 Nf5 32.Qc6 h4 33.Qe4 Ng3+ 0-1 "
"beta7","Live Chess","Chess.com","2012.12.07","thinkboolean","ajaybansal3","0-1","1088","1279","10|0","ajaybansal3 won by checkmate"," 1.e3 c5 2.h3 b6 3.b3 Bb7 4.Nf3 Nc6 5.Nc3 g6 6.e4 Bg7 7.Bd3 e6 8.Bb2 Nge7 9.Na4 Bxb2 10.Nxb2 Nb4 11.a3 Nxd3+ 12.Nxd3 Bxe4 13.Ng5 Bb7 14.f3 Nd5 15.O-O Qxg5 16.Qe2 O-O-O 17.Qf2 Nf4 18.Rae1 Nxh3+ 19.Kh1 Nxf2+ 20.Rxf2 Ba6 21.c4 Qf5 22.Ne5 f6 23.Ng4 Qc2 24.Re3 f5 25.Ne5 f4 26.Rc3 Qf5 27.Re2 h5 28.Kg1 h4 29.Ng4 h3 30.b4 cxb4 31.axb4 hxg2 32.Rxg2 Bb7 33.Nh2 Rxh2 34.Rxh2 Bxf3 35.Rxf3 Qb1+ 36.Rf1 Qxb4 37.Rxf4 Qb1+ 38.Kf2 a5 39.Ke3 Qb3+ 40.d3 a4 41.Rg2 a3 42.Rff2 Kb7 43.Ke4 Ra8 44.Ra2 Qa4 45.Rgc2 Qc6+ 46.Ke3 g5 47.d4 g4 48.Kf2 Qe4 49.Rd2 Qf4+ 50.Kg1 g3 51.d5 exd5 52.cxd5 Qxd2 53.Rxd2 a2 54.Rxa2 Rxa2 55.Kh1 Kc7 56.Kg1 Kd6 57.Kf1 b5 58.Kg1 b4 59.Kh1 b3 60.Kg1 b2 61.Kg2 b1=Q+ 62.Kxg3 Qf1 63.Kg4 Rg2+ 64.Kh3 Qh1# 0-1 "
"beta8","Live Chess","Chess.com","2012.12.07","cjadhav3","thinkboolean","1-0","1304","1084","10|0","cjadhav3 won by checkmate"," 1.e4 d6 2.d4 a6 3.Nf3 g6 4.c4 Bg7 5.Nc3 Bd7 6.Bd2 c6 7.Bd3 a5 8.Qc2 Na6 9.O-O b6 10.a3 Qc7 11.Bf4 Nf6 12.e5 Nh5 13.exd6 exd6 14.Rfe1+ Kd8 15.Bd2 Kc8 16.d5 Kb7 17.Be4 Nc5 18.dxc6+ Bxc6 19.Bxc6+ Qxc6 20.Re7+ Nd7 21.Rxf7 Ka6 22.b4 axb4 23.axb4+ Kb7 24.Rxa8 Rxa8 25.h3 Ra1+ 26.Kh2 Bxc3 27.Qxc3 Qa4 28.Rg7 Kc6 29.Rxd7 Kxd7 30.g4 Qd1 31.gxh5 Qh1+ 32.Kg3 gxh5 33.Qg7+ Kc6 34.Nd4# 1-0 "
"beta9","Live Chess","Chess.com","2012.12.07","thinkboolean","titch-","0-1","1077","1128","10|0","titch- won by checkmate"," 1.e3 d5 2.h3 e6 3.g4 Nf6 4.f4 Bb4 5.Bg2 O-O 6.c3 Bd6 7.b3 Nc6 8.Bb2 e5 9.fxe5 Bxe5 10.Qf3 Nb4 11.Na3 Bd7 12.d4 Nd3+ 13.Kd2 Nxb2 14.dxe5 Ne4+ 15.Kc2 Nd1 16.Qxd1 Nf2 17.Qf3 Nxh1 18.Bxh1 Bc6 19.b4 d4 20.exd4 Bxf3 21.Bxf3 h6 22.Bxb7 Rb8 23.Bc6 Qh4 24.b5 Qf2+ 25.Kb3 a6 26.Rb1 axb5 27.Bxb5 c6 28.Ka4 cxb5+ 29.Nxb5 Qc2+ 30.Ka5 Qxb1 31.Nc7 Qb6+ 32.Ka4 Qc6+ 33.Ka5 Qxc7+ 34.Ka4 Qa7# 0-1 "
"beta10","Live Chess","Chess.com","2012.12.09","thinkboolean","ojnav","0-1","1069","1106","10|0","ojnav won - game abandoned"," 1.e3 e5 2.h3 d5 3.b3 e4 4.Bb2 f6 5.Bd4 c5 0-1 "
