"FUN","input","return"
"R/betweens.R","square1,square2,game_pgn","data.frame"
"R/bishopPost..R","square,game_pgn","vector"
"R/chesscolor.R","pgn","string"
"R/completeID.R","ID","string"
"R/CSTL.R","X","list"
"R/dividemove.R","nincolor",""
"R/empty.R","gameName","data.frame"
"R/kingPost..R","square,game_pgn","vector"
"R/knightPost..R","square,game_pgn","vector"
"R/linesToPgn.R","pgnLines","vector"
"R/logchess.R","command","list"
"R/login.R","link,","html"
"R/lookBack.R","game_pgn,n","boolean"
"R/meta.loop.R","ids,Var","vector"
"R/mobilityMap.R",NA,""
"R/mongochess.R","row,dfdbN",""
"R/neighborPassant.R","game_pgn","boolean"
"R/newPosition.R","new_pgn,startPosition","data.frame"
"R/pathPrior.R","piece,square","vector"
"R/pawnPost..R","square,game_pgn","vector"
"R/pgnPatterns.R",NA,""
"R/pgnPiece.R","pgn","vector"
"R/pieceColor.R","square,game_pgn","string"
"R/pieceCount.R","game_pgn","data.frame"
"R/piecePost..R","square,game_pgn","vector"
"R/queenPost..R","square,game_pgn","vector"
"R/regex.scrape.R","Link,type,errorMessage","data.frame"
"R/rookPost..R","square,game_pgn","vector"
"R/scrape.chess.com.R","id,type","data.frame"
"R/scrape.daily.R","daily.link",""
"R/scrape.live.R","live.linkid=NULL",""
"R/setup.R","gameName,includeEmpty=TRUE","data.frame"
"R/testId.R","id,type","boolean"
"R/tidy.games.R","pgnFile","data.frame"
"R/tidy.positions.R","tidyDF,n,string,lengthLimit","data.frame"
"R/to.FEN.R","game_pgn","string"
"R/weave.rbind.R","DF1,DF2","data.frame"
